# GLEAM 3.0 country-level animal production data (reference year 2015).
# Source: FAO Global Livestock Environmental Assessment Model (GLEAM) version 3.0.
# Obtained directly from FAO upon request.
#
# SPDX-FileCopyrightText: FAO 2022
# SPDX-License-Identifier: CC-BY-4.0
ISO3,COUNTRY,VarName,Animal,LPS,Item,Element,Total,Unit
AFG,Afghanistan,Production,Buffalo,Grassland,Meat,CarcassWeight,7571.270957,kg/year
AFG,Afghanistan,Production,Buffalo,Grassland,Meat,LiveWeight,14941.24507,kg/year
AFG,Afghanistan,Production,Buffalo,Mixed,Meat,CarcassWeight,2692.521101,kg/year
AFG,Afghanistan,Production,Buffalo,Mixed,Meat,LiveWeight,5313.45649,kg/year
AFG,Afghanistan,Production,Buffalo,Grassland,Milk,Weight,0,kg/year
AFG,Afghanistan,Production,Buffalo,Mixed,Milk,Weight,0,kg/year
AFG,Afghanistan,Production,Cattle,Grassland,Meat,CarcassWeight,96918238.15,kg/year
AFG,Afghanistan,Production,Cattle,Grassland,Meat,LiveWeight,181203768.5,kg/year
AFG,Afghanistan,Production,Cattle,Mixed,Meat,CarcassWeight,93409314.9,kg/year
AFG,Afghanistan,Production,Cattle,Mixed,Meat,LiveWeight,179163453.9,kg/year
AFG,Afghanistan,Production,Cattle,Grassland,Milk,Weight,752100947.6,kg/year
AFG,Afghanistan,Production,Cattle,Mixed,Milk,Weight,1115669833,kg/year
AFG,Afghanistan,Production,Chicken,Backyard,Eggs,Weight,14358097.52,kg/year
AFG,Afghanistan,Production,Chicken,Backyard,Meat,CarcassWeight,3756484.979,kg/year
AFG,Afghanistan,Production,Chicken,Backyard,Meat,LiveWeight,5702911.287,kg/year
AFG,Afghanistan,Production,Chicken,Broiler,Meat,CarcassWeight,1747803.251,kg/year
AFG,Afghanistan,Production,Chicken,Broiler,Meat,LiveWeight,2570298.871,kg/year
AFG,Afghanistan,Production,Chicken,Layer,Eggs,Weight,333047.613,kg/year
AFG,Afghanistan,Production,Chicken,Layer,Meat,CarcassWeight,23246.47281,kg/year
AFG,Afghanistan,Production,Chicken,Layer,Meat,LiveWeight,42266.31332,kg/year
AFG,Afghanistan,Production,Goats,Grassland,Meat,CarcassWeight,24707343.87,kg/year
AFG,Afghanistan,Production,Goats,Grassland,Meat,LiveWeight,56023423.1,kg/year
AFG,Afghanistan,Production,Goats,Mixed,Meat,CarcassWeight,22620059.72,kg/year
AFG,Afghanistan,Production,Goats,Mixed,Meat,LiveWeight,51290546.77,kg/year
AFG,Afghanistan,Production,Goats,Grassland,Milk,Weight,60410026.45,kg/year
AFG,Afghanistan,Production,Goats,Mixed,Milk,Weight,55306568.64,kg/year
AFG,Afghanistan,Production,Sheep,Grassland,Meat,CarcassWeight,27280178.01,kg/year
AFG,Afghanistan,Production,Sheep,Grassland,Meat,LiveWeight,55902005.01,kg/year
AFG,Afghanistan,Production,Sheep,Mixed,Meat,CarcassWeight,31843326.67,kg/year
AFG,Afghanistan,Production,Sheep,Mixed,Meat,LiveWeight,65252719.53,kg/year
AFG,Afghanistan,Production,Sheep,Grassland,Milk,Weight,90904499.44,kg/year
AFG,Afghanistan,Production,Sheep,Mixed,Milk,Weight,108621025.2,kg/year
ALB,Albania,Production,Buffalo,Grassland,Meat,CarcassWeight,2255.879942,kg/year
ALB,Albania,Production,Buffalo,Grassland,Meat,LiveWeight,4242.732533,kg/year
ALB,Albania,Production,Buffalo,Mixed,Meat,CarcassWeight,4700.470958,kg/year
ALB,Albania,Production,Buffalo,Mixed,Meat,LiveWeight,8840.382243,kg/year
ALB,Albania,Production,Buffalo,Grassland,Milk,Weight,4213.126511,kg/year
ALB,Albania,Production,Buffalo,Mixed,Milk,Weight,8778.693571,kg/year
ALB,Albania,Production,Cattle,Grassland,Meat,CarcassWeight,20143002.39,kg/year
ALB,Albania,Production,Cattle,Grassland,Meat,LiveWeight,39206041.26,kg/year
ALB,Albania,Production,Cattle,Mixed,Meat,CarcassWeight,67313833.56,kg/year
ALB,Albania,Production,Cattle,Mixed,Meat,LiveWeight,131018649.7,kg/year
ALB,Albania,Production,Cattle,Grassland,Milk,Weight,222025978.3,kg/year
ALB,Albania,Production,Cattle,Mixed,Milk,Weight,741965842.6,kg/year
ALB,Albania,Production,Chicken,Backyard,Eggs,Weight,6842338.721,kg/year
ALB,Albania,Production,Chicken,Backyard,Meat,CarcassWeight,1516250.991,kg/year
ALB,Albania,Production,Chicken,Backyard,Meat,LiveWeight,2055473.82,kg/year
ALB,Albania,Production,Chicken,Broiler,Meat,CarcassWeight,11744031.88,kg/year
ALB,Albania,Production,Chicken,Broiler,Meat,LiveWeight,16540890.49,kg/year
ALB,Albania,Production,Chicken,Layer,Eggs,Weight,64139915.65,kg/year
ALB,Albania,Production,Chicken,Layer,Meat,CarcassWeight,7535374.207,kg/year
ALB,Albania,Production,Chicken,Layer,Meat,LiveWeight,13700680.03,kg/year
ALB,Albania,Production,Goats,Grassland,Meat,CarcassWeight,1727009.353,kg/year
ALB,Albania,Production,Goats,Grassland,Meat,LiveWeight,4016300.831,kg/year
ALB,Albania,Production,Goats,Mixed,Meat,CarcassWeight,4684703.049,kg/year
ALB,Albania,Production,Goats,Mixed,Meat,LiveWeight,10894658.23,kg/year
ALB,Albania,Production,Goats,Grassland,Milk,Weight,21554035.99,kg/year
ALB,Albania,Production,Goats,Mixed,Milk,Weight,58467697.13,kg/year
ALB,Albania,Production,Pigs,Backyard,Meat,CarcassWeight,3447469.839,kg/year
ALB,Albania,Production,Pigs,Backyard,Meat,LiveWeight,5303799.956,kg/year
ALB,Albania,Production,Pigs,Industrial,Meat,CarcassWeight,13547236.92,kg/year
ALB,Albania,Production,Pigs,Industrial,Meat,LiveWeight,18062982.62,kg/year
ALB,Albania,Production,Pigs,Intermediate,Meat,CarcassWeight,6794284.759,kg/year
ALB,Albania,Production,Pigs,Intermediate,Meat,LiveWeight,9059046.351,kg/year
ALB,Albania,Production,Sheep,Grassland,Meat,CarcassWeight,2013056.814,kg/year
ALB,Albania,Production,Sheep,Grassland,Meat,LiveWeight,3893726.842,kg/year
ALB,Albania,Production,Sheep,Mixed,Meat,CarcassWeight,9895347.305,kg/year
ALB,Albania,Production,Sheep,Mixed,Meat,LiveWeight,19139935.93,kg/year
ALB,Albania,Production,Sheep,Grassland,Milk,Weight,14707562.25,kg/year
ALB,Albania,Production,Sheep,Mixed,Milk,Weight,72296238.54,kg/year
DZA,Algeria,Production,Cattle,Grassland,Meat,CarcassWeight,8375724.899,kg/year
DZA,Algeria,Production,Cattle,Grassland,Meat,LiveWeight,17820691.29,kg/year
DZA,Algeria,Production,Cattle,Mixed,Meat,CarcassWeight,56361764.5,kg/year
DZA,Algeria,Production,Cattle,Mixed,Meat,LiveWeight,119918648.1,kg/year
