product,country,correction_bnusd_per_mt_feed
dairy,AFG,0.07110289111733437
dairy,AGO,-0.052276793867349625
dairy,ALB,0.04189971089363098
dairy,ARE,0.006792794913053513
dairy,ARG,-0.19007804244756699
dairy,ARM,0.015351289534009993
dairy,ASM,-0.0
dairy,ATG,-0.07415267080068588
dairy,AUS,-0.03330938518047333
dairy,AUT,-0.001871093874797225
dairy,AZE,-0.011546611553058028
dairy,BDI,-0.08293483406305313
dairy,BEL,-0.06494744122028351
dairy,BEN,-0.06517927348613739
dairy,BFA,-0.0710761658847332
dairy,BGD,-0.011864199710544199
dairy,BGR,0.04248086363077164
dairy,BHS,-0.10077879577875137
dairy,BIH,0.054160403087735176
dairy,BLR,-0.03120021242648363
dairy,BLZ,-0.0673399306833744
dairy,BOL,-0.11297045648097992
dairy,BRA,-0.14132538437843323
dairy,BRB,-0.03516155108809471
dairy,BRN,0.0010207290761172771
dairy,BTN,0.07137727737426758
dairy,BWA,-0.04639783315360546
dairy,CAF,-0.047362144105136395
dairy,CAN,-0.012844348617363721
dairy,CHE,-0.06171961687505245
dairy,CHL,-0.1575530245900154
dairy,CHN,0.18199358880519867
dairy,CIV,-0.0643844734877348
dairy,CMR,-0.059377701953053474
dairy,COD,-0.06932692416012287
dairy,COG,-0.0772218219935894
dairy,COL,-0.10589908808469772
dairy,COM,-0.0368497553281486
dairy,CPV,-0.04084729216992855
dairy,CRI,-0.07187285274267197
dairy,CUB,-0.07454248517751694
dairy,CYP,0.06945230066776276
dairy,CZE,-0.01830822101328522
dairy,DEU,-0.007659127935767174
dairy,DJI,-0.001936483196914196
dairy,DNK,-0.03562460746616125
dairy,DOM,-0.04063611105084419
dairy,DZA,-0.04563934542238712
dairy,ECU,-0.12495845556259155
dairy,EGY,-0.036840214394032955
dairy,ERI,-0.06418114900588989
dairy,ESP,-0.04653677809983492
dairy,EST,0.0029296198626980186
dairy,ETH,-0.03961147181689739
dairy,FIN,0.04778055660426617
dairy,FJI,-0.0003902651369571686
dairy,FRA,-0.0739661380648613
dairy,GAB,-0.051431622356176376
dairy,GBR,-0.0010949228890240192
dairy,GEO,0.026779319159686565
dairy,GHA,-0.06584090553224087
dairy,GIN,-0.06814400479197502
dairy,GMB,-0.04751131683588028
dairy,GNB,-0.07144184038043022
dairy,GNQ,-0.0
dairy,GRC,0.015861675143241882
dairy,GRD,-0.07470720261335373
dairy,GTM,-0.09486450999975204
dairy,GUF,-0.0
dairy,GUY,-0.10369237884879112
dairy,HND,-0.07163160666823387
dairy,HRV,0.0005707531236112118
dairy,HTI,-0.04121192917227745
dairy,HUN,0.0011275116121396422
dairy,IDN,0.018797800177708268
dairy,IND,0.013230020413175225
dairy,IRL,-0.12459363043308258
dairy,IRN,0.020601958967745304
dairy,IRQ,-0.027221801225095987
dairy,ISL,-0.16799800843000412
dairy,ISR,0.02514337282627821
dairy,ITA,-0.042019518092274666
dairy,JAM,-0.05573086813092232
dairy,JOR,0.09914381429553032
dairy,JPN,0.1858663558959961
dairy,KAZ,0.09480730444192886
dairy,KEN,-0.05725946091115475
dairy,KGZ,0.1327434964478016
dairy,KHM,-0.038436566945165396
dairy,KOR,0.2064354196190834
dairy,LAO,0.043672872707247734
dairy,LBN,0.08578919991850853
dairy,LBR,-0.056491339579224586
dairy,LBY,-0.03193415142595768
dairy,LKA,0.07730477303266525
dairy,LSO,-0.048183027654886246
dairy,LTU,-0.005832829279825091
dairy,LUX,-0.10474477708339691
dairy,LVA,0.005086494059924007
dairy,MAR,-0.08388393372297287
dairy,MDA,0.006985391955822706
dairy,MDG,-0.05608521215617657
dairy,MEX,0.02504805661737919
dairy,MKD,-0.02529786480590701
dairy,MLI,-0.0486379936337471
dairy,MLT,-0.02569432556629181
dairy,MMR,0.003028485458344221
dairy,MNE,0.017796458676457405
dairy,MNG,0.0519753023982048
dairy,MOZ,-0.044440099969506264
dairy,MRT,-0.08356944471597672
dairy,MUS,-0.020448302384465933
dairy,MWI,-0.0490624513477087
dairy,MYS,0.0033223333302885294
