# SPDX-FileCopyrightText: 2026 Koen van Greevenbroek
#
# SPDX-License-Identifier: CC-BY-4.0
country,monogastric_protein_mt_dm,ruminant_protein_mt_dm,ruminant_roughage_mt_dm
AFG,0.0,0.0,6.555995
AGO,0.0,0.0,1.569402
ARE,0.0,0.0,1.419992
ARM,0.0,0.0,0.926216
ATG,0.0,0.0,0.001205
AZE,0.0,0.0,1.683404
BEN,0.0,0.0,0.082845
BFA,0.0,0.0,3.272282
BGD,0.0,0.0,9.410072
BHS,0.0,0.0,0.000838
BOL,0.0,0.0,3.50726
BRA,0.0,0.0,19.014677
BRB,0.0,0.0,0.002081
BRN,0.0,0.0,0.098292
BTN,0.0,0.0,0.041032
BWA,0.0,0.0,0.849463
CAF,0.0,0.0,3.622731
CHL,0.0,0.0,1.196881
CHN,0.0,3.255294,0.0
CMR,0.0,0.0,2.810705
COG,0.0,0.0,0.197334
COL,0.0,0.0,5.032666
COM,0.0,0.0,0.028873
CPV,0.0,0.0,0.02986
CRI,0.0,0.0,0.512368
CUB,0.0,0.0,0.557701
CYP,0.0,0.0,0.026456
DJI,0.0,0.0,0.253123
DOM,0.0,0.0,0.750027
DZA,0.0,0.0,7.2608
ECU,0.0,0.0,1.009175
EGY,0.0,0.0,7.91356
ERI,0.0,0.0,0.672196
ETH,0.0,0.0,7.926266
GAB,0.0,0.0,0.019175
GEO,0.0,0.0,0.294101
GMB,0.0,0.0,0.077714
GNB,0.0,0.0,0.248373
GNQ,0.0,0.0,0.001419
GRD,0.0,0.0,0.003354
GTM,0.0,0.0,0.892618
HND,0.0,0.0,0.375663
HTI,0.0,0.0,0.591675
IND,0.0,0.0,312.979767
IRL,0.0,0.0,0.348873
ISL,0.0,0.0,0.030581
ISR,0.0,0.0,1.126866
JAM,0.0,0.0,0.185547
JOR,0.0,0.0,0.916712
JPN,1.613351,1.221497,1.745821
KEN,0.0,0.0,8.63059
KHM,0.0,0.138654,0.0
KOR,2.720941,0.375008,2.851283
LAO,0.0,0.056125,0.0
LBN,0.0,0.0,0.267326
LBY,0.0,0.0,0.821837
LSO,0.0,0.0,0.094734
MAR,0.0,0.0,5.653161
MEX,0.0,0.0,2.764717
MLI,0.0,0.0,0.646769
MLT,0.0,0.0,0.002183
MNE,0.0,0.0,0.002414
MNG,0.0,0.0,15.403045
MRT,0.0,0.0,2.271038
MWI,0.0,0.0,0.638951
MYS,0.0,0.0,0.221669
NAM,0.0,0.0,0.704948
NER,0.0,0.0,5.668652
NGA,0.0,0.0,2.040598
NIC,0.0,0.0,1.360657
NLD,0.0,0.0,0.177961
NPL,0.0,0.0,15.912924
NZL,0.0,0.20572,0.0
OMN,0.0,0.0,1.608096
PAK,0.0,13.51232,167.901764
PAN,0.0,0.0,0.407226
PER,0.0,0.0,0.895242
PRI,0.0,0.0,0.093607
PRY,0.0,0.0,1.406609
PSE,0.0,0.0,0.253773
RWA,0.0,0.0,0.505247
SAU,0.0,0.0,3.264137
SDN,0.0,0.0,13.052379
SEN,0.0,0.0,2.947487
SOM,0.0,0.0,5.425589
SSD,0.0,0.0,3.80857
STP,0.0,0.0,0.002599
SWZ,0.0,0.0,0.172665
SYR,0.0,0.0,1.433626
TCD,0.0,0.0,27.153061
THA,1.305433,0.336467,0.0
TJK,0.0,0.0,0.270834
TKM,0.0,0.0,0.705215
TLS,0.004178,0.010371,0.072467
TTO,0.0,0.0,0.006944
TUN,0.0,0.0,1.322185
TUR,0.0,0.0,2.23244
TWN,1.325826,0.00074,0.0
TZA,0.0,0.0,10.817873
UGA,0.0,0.0,4.159142
URY,0.0,0.0,2.736367
VEN,0.0,0.0,3.774381
YEM,0.0,0.0,3.213235
ZAF,0.0,0.0,6.495344
ZMB,0.0,0.0,3.276134
ZWE,0.0,0.0,10.84927
