# SPDX-FileCopyrightText: 2026 Koen van Greevenbroek
#
# SPDX-License-Identifier: CC-BY-4.0
country,exogenous_forage_mt_dm
AFG,4.450933
AGO,11.919304
ALB,0.0
ARE,3.343128
ARG,0.0
ARM,1.665317
ATG,0.0
AUS,13.409709
AUT,0.0
AZE,7.070759
BDI,0.56957
BEL,0.0
BEN,5.817413
BFA,17.243755
BGD,37.471863
BGR,0.0
BHS,0.0
BIH,0.0
BLR,0.0
BLZ,0.0
BOL,11.823067
BRA,167.678391
BRB,0.0
BRN,0.176294
BTN,0.015584
BWA,2.302853
CAF,13.883384
CAN,0.0
CHE,0.0
CHL,0.0
CHN,252.51265
CIV,1.616747
CMR,18.742239
COD,3.17886
COG,0.057121
COL,0.0
COM,0.112305
CPV,0.10511
CRI,0.0
CUB,0.0
CYP,0.257044
CZE,0.0
DEU,0.0
DJI,0.914854
DNK,0.0
DOM,0.0
DZA,17.365419
ECU,0.0
EGY,21.16798
ERI,0.0
ESP,3.759582
EST,0.0
ETH,31.801865
FIN,0.0
FJI,0.0
FRA,0.0
GAB,0.044347
GBR,0.0
GEO,0.358365
GHA,6.100806
GIN,3.984703
GMB,0.192739
GNB,1.474739
GNQ,0.004291
GRC,0.0
GRD,0.0
GTM,0.0
GUF,0.0
GUY,0.008191
HND,0.0
HRV,0.0
HTI,0.0
HUN,0.0
IDN,13.666847
IND,530.430603
IRL,0.0
IRN,9.252669
IRQ,4.038137
ISL,0.327672
ISR,2.879187
ITA,0.0
JAM,0.0
JOR,1.965154
JPN,2.333162
KAZ,0.0
KEN,0.0
KGZ,1.446702
KHM,5.860459
KOR,8.62955
LAO,4.191237
LBN,1.090947
LBR,0.018339
LBY,1.465278
LKA,2.785689
LSO,0.0
LTU,0.0
LUX,0.0
LVA,0.0
MAR,11.205673
MDA,0.0
MDG,0.0
MEX,0.0
MKD,0.0
MLI,0.0
MLT,0.028873
MMR,15.794534
MNE,0.0
MNG,0.0
MOZ,0.0
MRT,6.241568
MUS,0.065528
MWI,8.618276
MYS,1.61067
NAM,0.0
NER,21.248274
NGA,53.384636
NIC,0.0
NLD,3.621522
NOR,0.0
NPL,25.842878
NZL,9.587815
OMN,3.915871
PAK,220.523148
PAN,0.0
PER,1.058587
PHL,2.187801
PNG,0.004459
POL,0.0
PRI,0.0
PRT,0.0
PRY,0.0
PSE,0.423671
ROU,0.0
RUS,10.481194
RWA,2.553591
SAU,7.188
SDN,0.0
SEN,13.692276
SLB,0.026163
SLE,0.339644
SLV,0.0
SOM,1.08422
SRB,0.0
SSD,1.259307
STP,0.009671
SUR,0.065607
SVK,0.0
SVN,0.0
SWE,0.0
SWZ,0.689938
SYR,10.079726
TCD,0.0
TGO,0.791635
THA,5.64756
TJK,8.851032
TKM,10.730201
TLS,0.16931
TTO,0.0
TUN,4.086443
TUR,52.507244
TWN,0.0
TZA,53.445683
UGA,17.621889
UKR,0.0
URY,0.0
USA,0.0
UZB,14.312446
VEN,0.0
VNM,21.114082
VUT,0.0
YEM,0.0
ZAF,14.926323
ZMB,20.386152
ZWE,43.842686
