# SPDX-FileCopyrightText: 2026 Koen van Greevenbroek
#
# SPDX-License-Identifier: CC-BY-4.0
country,monogastric_protein_mt_dm,ruminant_protein_mt_dm
AFG,0.0,0.354154
CHN,10.010015,9.035821
IDN,4.822655,2.875262
JPN,1.722554,1.16188
KHM,0.124096,0.210126
KOR,2.818976,0.350277
LAO,0.087948,0.068582
LKA,0.05905,0.165469
MMR,0.0,0.291165
MNG,0.0,0.015668
NZL,0.095107,1.166557
PAK,0.0,14.446367
PHL,1.605324,0.322336
THA,2.873571,0.346337
TKM,0.0,0.04881
TLS,0.008928,0.010407
TWN,1.273481,0.000823
UZB,0.0,1.770602
VNM,3.672949,0.826478
