# SPDX-FileCopyrightText: 2025 Koen van Greevenbroek
#
# SPDX-License-Identifier: CC-BY-4.0
country,fodder_conversion_correction
AFG,1.0
AGO,1.0
ALB,0.736022
ARE,1.0
ARG,0.816147
ARM,1.0
ATG,1.0
AUS,0.598619
AUT,0.890424
AZE,1.0
BDI,1.0
BEL,0.900408
BEN,1.0
BFA,1.0
BGD,1.0
BGR,1.0
BHS,1.0
BIH,0.564962
BLR,0.964189
BLZ,1.0
BOL,1.0
BRA,1.0
BRB,1.0
BRN,1.0
BTN,0.877894
BWA,1.0
CAF,1.0
CAN,0.56044
CHE,0.656339
CHL,1.0
CHN,1.0
CIV,1.0
CMR,1.0
COD,1.0
COG,0.896623
COL,0.462247
COM,1.0
CPV,1.0
CRI,1.0
CUB,0.900595
CYP,1.0
CZE,0.918386
DEU,0.696913
DJI,1.0
DNK,1.0
DOM,1.0
DZA,1.0
ECU,1.0
EGY,1.0
ERI,0.477473
ESP,1.0
EST,0.498121
ETH,1.0
FIN,1.0
FJI,0.474579
FRA,0.946481
GAB,1.0
GBR,0.54416
GEO,1.0
GHA,1.0
GIN,1.0
GMB,1.0
GNB,1.0
GNQ,1.0
GRC,0.871521
GRD,1.0
GTM,1.0
GUF,0.0
GUY,0.965721
HND,0.850124
HRV,1.0
HTI,1.0
HUN,0.480499
IDN,1.0
IND,1.0
IRL,0.577176
IRN,1.0
IRQ,1.0
ISL,1.0
ISR,1.0
ITA,1.0
JAM,1.0
JOR,1.0
JPN,1.0
KAZ,0.635901
KEN,0.832606
KGZ,1.0
KHM,1.0
KOR,1.0
LAO,1.0
LBN,1.0
LBR,1.0
LBY,1.0
LKA,1.0
LSO,0.446653
LTU,1.0
LUX,0.702193
LVA,0.287425
MAR,1.0
MDA,0.628226
MDG,0.398243
MEX,0.749743
MKD,0.825225
MLI,0.928035
MLT,1.0
MMR,1.0
MNE,0.678112
MNG,0.6407
MOZ,0.140461
MRT,1.0
MUS,1.0
MWI,1.0
MYS,1.0
NAM,0.462568
NER,1.0
NGA,1.0
NIC,0.959093
NLD,1.0
NOR,1.0
NPL,1.0
NZL,1.0
OMN,1.0
PAK,1.0
PAN,1.0
PER,1.0
PHL,1.0
PNG,1.0
POL,0.880111
PRI,0.952085
PRT,0.555071
PRY,0.615411
PSE,1.0
ROU,0.573165
RUS,1.0
RWA,1.0
SAU,1.0
SDN,0.386887
SEN,1.0
SLB,1.0
SLE,1.0
SLV,1.0
SOM,0.437786
SRB,0.940611
SSD,0.875958
STP,1.0
SUR,1.0
SVK,0.72394
SVN,0.500477
SWE,1.0
SWZ,1.0
SYR,1.0
TCD,0.81112
TGO,1.0
THA,1.0
TJK,1.0
TKM,1.0
TLS,1.0
TTO,1.0
TUN,1.0
TUR,1.0
TWN,0.657672
TZA,1.0
UGA,1.0
UKR,1.0
URY,0.616814
USA,0.368409
UZB,1.0
VEN,1.0
VNM,1.0
VUT,0.293071
YEM,0.608906
ZAF,1.0
ZMB,1.0
ZWE,1.0
