# SPDX-FileCopyrightText: 2026 Koen van Greevenbroek
#
# SPDX-License-Identifier: CC-BY-4.0
country,yield_correction
AFG,0.395294
AGO,0.071585
ALB,0.144938
ARE,1.0
ARG,0.345713
ARM,0.550552
ATG,1.0
AUS,0.236373
AUT,0.600427
AZE,1.0
BDI,0.442052
BEL,0.928966
BEN,1.0
BFA,1.0
BGD,1.0
BGR,0.074007
BHS,0.669108
BIH,0.01467
BLR,0.422193
BLZ,0.102024
BOL,0.111315
BRA,0.229034
BRB,1.0
BRN,1.0
BTN,0.03586
BWA,1.0
CAF,0.583977
CAN,0.051832
CHE,0.40712
CHL,0.686938
CHN,0.290638
CIV,0.033413
CMR,1.0
COD,0.022128
COG,0.00797
COL,0.103539
COM,1.0
CPV,1.0
CRI,0.380109
CUB,0.277685
CYP,1.0
CZE,0.232729
DEU,0.150859
DJI,1.0
DNK,1.0
DOM,0.567981
DZA,0.791718
ECU,0.36376
EGY,1.0
ERI,0.518486
ESP,0.429751
EST,0.0
ETH,0.551195
FIN,1.0
FJI,0.041419
FRA,0.488102
GAB,0.007952
GBR,0.40073
GEO,0.122798
GHA,0.178956
GIN,0.173001
GMB,1.0
GNB,1.0
GNQ,0.077495
GRC,0.075784
GRD,1.0
GTM,0.571477
GUF,0.0
GUY,0.018762
HND,0.186551
HRV,0.284196
HTI,0.92669
HUN,0.0
IDN,0.144268
IND,1.0
IRL,0.633733
IRN,0.769453
IRQ,1.0
ISL,0.062237
ISR,1.0
ITA,1.0
JAM,1.0
JOR,1.0
JPN,0.0
KAZ,0.256835
KEN,0.467676
KGZ,0.842055
KHM,0.398086
KOR,1.0
LAO,0.446981
LBN,1.0
LBR,0.016113
LBY,0.894499
LKA,0.193473
LSO,0.043373
LTU,0.341665
LUX,0.783687
LVA,0.0
MAR,1.0
MDA,0.0
MDG,0.016111
MEX,0.371319
MKD,0.104967
MLI,0.387873
MLT,1.0
MMR,1.0
MNE,0.077905
MNG,0.245052
MOZ,0.00289
MRT,0.66052
MUS,0.811415
MWI,0.76798
MYS,0.442334
NAM,0.29193
NER,1.0
NGA,0.665316
NIC,0.295306
NLD,1.0
NOR,1.0
NPL,1.0
NZL,0.560406
OMN,1.0
PAK,1.0
PAN,0.312528
PER,0.084126
PHL,0.384506
PNG,0.0
POL,0.560559
PRI,0.459587
PRT,0.081039
PRY,0.068489
PSE,1.0
ROU,0.0
RUS,0.15561
RWA,1.0
SAU,1.0
SDN,0.419271
SEN,1.0
SLB,0.408618
SLE,0.093191
SLV,1.0
SOM,0.555429
SRB,0.136713
SSD,0.142093
STP,1.0
SUR,1.0
SVK,0.0
SVN,0.252012
SWE,1.0
SWZ,0.283263
SYR,1.0
TCD,0.695865
TGO,0.206827
THA,0.898892
TJK,1.0
TKM,1.0
TLS,0.234166
TTO,0.839948
TUN,1.0
TUR,1.0
TWN,0.107613
TZA,0.407102
UGA,0.425128
UKR,0.166781
URY,0.242289
USA,0.031197
UZB,1.0
VEN,0.190094
VNM,1.0
VUT,0.176534
YEM,0.592561
ZAF,0.346808
ZMB,0.203235
ZWE,1.0
