crop,country,correction_bnusd_per_mha
alfalfa,AFG,-0.3750787675380707
alfalfa,AGO,-0.9439449906349182
alfalfa,ALB,-0.11809636652469635
alfalfa,ARE,-0.6755253076553345
alfalfa,ARG,-0.46978648006916046
alfalfa,ARM,-0.0
alfalfa,ATG,-7.5
alfalfa,AUS,1.456120252609253
alfalfa,AUT,-0.6891505420207977
alfalfa,AZE,0.7057382166385651
alfalfa,BDI,-0.5490851700305939
alfalfa,BEL,-0.23728060722351074
alfalfa,BEN,0.7114291489124298
alfalfa,BFA,-7.5
alfalfa,BGD,-0.7657375931739807
alfalfa,BGR,0.5154048055410385
alfalfa,BHS,-0.7067800164222717
alfalfa,BIH,0.6828204989433289
alfalfa,BLR,0.03184974566102028
alfalfa,BLZ,-0.029083551838994026
alfalfa,BOL,-0.22297222912311554
alfalfa,BRA,-0.43258796632289886
alfalfa,BRB,2.5348349809646606
alfalfa,BRN,1.4280236959457397
alfalfa,BTN,0.340537965297699
alfalfa,BWA,-7.5
alfalfa,CAF,-0.974648654460907
alfalfa,CAN,-0.22291509807109833
alfalfa,CHE,0.5097993314266205
alfalfa,CHL,-0.6260356903076172
alfalfa,CHN,0.6336998641490936
alfalfa,CIV,7.5
alfalfa,CMR,1.601276457309723
alfalfa,COD,-0.904526561498642
alfalfa,COG,-0.9112309217453003
alfalfa,COL,-0.9032638072967529
alfalfa,COM,-0.863983690738678
alfalfa,CPV,-3.9641530215740204
alfalfa,CRI,-0.9016055166721344
alfalfa,CUB,-0.28110775351524353
alfalfa,CYP,3.1567713022232056
alfalfa,CZE,-0.26696592569351196
alfalfa,DEU,0.15541773289442062
alfalfa,DJI,1.4503105878829956
alfalfa,DNK,7.370487689971924
alfalfa,DOM,-0.8690982162952423
alfalfa,DZA,-0.08560169488191605
alfalfa,ECU,-0.12939461693167686
alfalfa,EGY,2.9221946001052856
alfalfa,ERI,-0.8744806945323944
alfalfa,ESP,-1.0534051060676575
alfalfa,EST,-0.0
alfalfa,ETH,-0.8345361351966858
alfalfa,FIN,-0.0
alfalfa,FJI,-0.20056112110614777
alfalfa,FRA,-0.33104005455970764
alfalfa,GAB,-0.8414711356163025
alfalfa,GBR,0.18297655880451202
alfalfa,GEO,-0.583319365978241
alfalfa,GHA,7.5
alfalfa,GIN,-0.44031502306461334
alfalfa,GMB,-7.5
alfalfa,GNB,-7.5
alfalfa,GNQ,-0.12937652319669724
alfalfa,GRC,-0.6723275482654572
alfalfa,GRD,0.3827682435512543
alfalfa,GTM,-0.4894945025444031
alfalfa,GUF,-2.7509915828704834
alfalfa,GUY,-0.07720011845231056
alfalfa,HND,-0.34651389718055725
alfalfa,HRV,-2.968752473592758
alfalfa,HTI,-0.8191313445568085
alfalfa,HUN,-0.3677455857396126
alfalfa,IDN,-0.15115800499916077
alfalfa,IND,2.9521031379699707
alfalfa,IRL,-0.5080434381961823
alfalfa,IRN,-1.2045719623565674
alfalfa,IRQ,2.7675466537475586
alfalfa,ISL,-0.775978684425354
alfalfa,ISR,1.593531608581543
alfalfa,ITA,-0.45480209589004517
alfalfa,JAM,2.033314883708954
alfalfa,JOR,3.9203332662582397
alfalfa,JPN,0.017270792406634428
alfalfa,KAZ,-0.5172078013420105
alfalfa,KEN,-0.49232181906700134
alfalfa,KGZ,-0.8171102404594421
alfalfa,KHM,-0.7938231527805328
alfalfa,KOR,-0.8412145376205444
alfalfa,LAO,-0.2115088403224945
alfalfa,LBN,2.0070786476135254
alfalfa,LBR,-0.9287798702716827
alfalfa,LBY,-0.824711263179779
alfalfa,LKA,-0.375872865319252
alfalfa,LSO,-0.44325435161590576
alfalfa,LTU,0.3543912172317505
alfalfa,LUX,-0.3182141184806824
alfalfa,LVA,-0.8102150857448578
alfalfa,MAR,2.6186418533325195
alfalfa,MDA,0.25572748482227325
alfalfa,MDG,-0.9195513427257538
alfalfa,MEX,-0.14814554154872894
alfalfa,MKD,0.6304250508546829
alfalfa,MLI,-7.5
alfalfa,MLT,-1.562433123588562
alfalfa,MMR,-0.8467822372913361
alfalfa,MNE,2.5230941772460938
alfalfa,MNG,-7.5
alfalfa,MOZ,-0.5782089233398438
alfalfa,MRT,-0.5335112512111664
alfalfa,MUS,-0.7995986342430115
alfalfa,MWI,-0.5677796304225922
alfalfa,MYS,-0.3362851142883301
alfalfa,NAM,-0.40904849767684937
alfalfa,NER,-0.0
alfalfa,NGA,-0.9353777766227722
alfalfa,NIC,-1.859633982181549
alfalfa,NLD,6.6176230907440186
alfalfa,NOR,-0.0
alfalfa,NPL,-0.944817304611206
alfalfa,NZL,-0.3066001534461975
alfalfa,OMN,0.21697576344013214
alfalfa,PAK,-0.8294757902622223
alfalfa,PAN,-0.10728327557444572
alfalfa,PER,-0.1228768602013588
alfalfa,PHL,-0.08774245902895927
alfalfa,PNG,-0.29896271228790283
alfalfa,POL,-0.46259021759033203
alfalfa,PRI,-0.1749081201851368
alfalfa,PRT,2.1297249794006348
alfalfa,PRY,-0.329582542181015
alfalfa,PSE,1.1304057836532593
alfalfa,ROU,0.01496843621134758
alfalfa,RUS,-0.3063901513814926
alfalfa,RWA,-0.22619490325450897
alfalfa,SAU,0.6361793577671051
alfalfa,SDN,-0.7556883692741394
alfalfa,SEN,2.2971858978271484
alfalfa,SLB,-0.6252312958240509
alfalfa,SLE,-0.910034567117691
alfalfa,SLV,1.1594973802566528
alfalfa,SOM,-0.5522036254405975
alfalfa,SRB,0.04925258457660675
alfalfa,SSD,-0.8231414258480072
alfalfa,STP,1.291341781616211
alfalfa,SUR,1.9646342992782593
alfalfa,SVK,-0.0814480371773243
alfalfa,SVN,0.2692781463265419
alfalfa,SWE,-0.0
alfalfa,SWZ,-0.23009134829044342
alfalfa,SYR,-0.0
alfalfa,TCD,-0.9240545034408569
alfalfa,TGO,-0.11689066886901855
alfalfa,THA,-0.6453790664672852
alfalfa,TJK,-0.9789730310440063
