# SPDX-FileCopyrightText: 2026 Koen van Greevenbroek
#
# SPDX-License-Identifier: CC-BY-4.0
country,monogastric_protein_mt_dm,ruminant_protein_mt_dm,ruminant_roughage_mt_dm
AFG,0.0,0.0,6.454991
AGO,0.0,0.0,0.935713
ARE,0.0,0.0,1.419746
ARM,0.0,0.0,0.921945
ATG,0.0,0.0,0.001203
AZE,0.0,0.0,1.66953
BFA,0.0,0.0,2.427716
BGD,0.0,0.0,9.275321
BHS,0.0,0.0,0.00024
BOL,0.0,0.0,3.061832
BRA,0.0,0.0,4.273265
BRB,0.0,0.0,0.001185
BRN,0.0,0.0,0.098262
BTN,0.0,0.0,0.032702
BWA,0.0,0.0,0.803633
CAF,0.0,0.0,3.145721
CHL,0.0,0.0,1.174709
CHN,22.060617,8.937976,0.0
CMR,0.0,0.0,1.961351
COG,0.0,0.0,0.10183
COL,0.0,0.0,4.952398
COM,0.0,0.0,0.023562
CPV,0.0,0.0,0.014816
CRI,0.0,0.0,0.47573
CUB,0.0,0.0,0.474311
CYP,0.0,0.0,0.026106
DJI,0.0,0.0,0.253116
DOM,0.0,0.0,0.732631
DZA,0.0,0.0,7.00381
ECU,0.0,0.0,0.99931
EGY,0.0,0.0,7.632216
ERI,0.0,0.0,0.647034
ETH,0.0,0.0,3.538889
GEO,0.0,0.0,0.291165
GNB,0.0,0.0,0.082521
GRD,0.0,0.0,0.003329
GTM,0.0,0.0,0.88201
HND,0.0,0.0,0.32824
HTI,0.0,0.0,0.567069
IND,0.0,0.0,289.219116
IRL,0.0,0.0,0.334866
ISL,0.0,0.0,0.030581
ISR,0.0,0.0,1.114113
JAM,0.0,0.0,0.181489
JOR,0.0,0.0,0.90952
JPN,1.910623,1.221458,1.323049
KEN,0.0,0.0,8.553256
KHM,0.0,0.135121,0.0
KOR,2.714647,0.374992,2.658246
LAO,0.0,0.053306,0.0
LBN,0.0,0.0,0.255602
LBY,0.0,0.0,0.793355
LSO,0.0,0.0,0.093215
MAR,0.0,0.0,5.567759
MEX,0.0,0.0,2.591533
MLT,0.0,0.0,0.002164
MNE,0.0,0.0,0.002303
MNG,0.0,0.0,15.397595
MRT,0.0,0.0,2.105997
MYS,0.0,0.0,0.217634
NAM,0.0,0.0,0.693243
NER,0.0,0.0,1.711398
NIC,0.0,0.0,1.291705
NLD,0.0,0.0,0.117066
NPL,0.0,0.0,15.855976
NZL,0.0,0.72566,0.0
OMN,0.0,0.0,1.601173
PAK,0.0,13.613902,166.893402
PAN,0.0,0.0,0.335515
PER,0.0,0.0,0.827014
PRI,0.0,0.0,0.093587
PRY,0.0,0.0,0.155431
PSE,0.0,0.0,0.253434
RWA,0.0,0.0,0.380831
SAU,0.0,0.0,3.207553
SDN,0.0,0.0,11.693514
SEN,0.0,0.0,0.880735
SOM,0.0,0.0,5.319848
SSD,0.0,0.0,3.616102
STP,0.0,0.0,0.00225
SWZ,0.0,0.0,0.169067
SYR,0.0,0.0,1.271963
TCD,0.0,0.0,25.86199
THA,1.626361,0.336465,0.0
TJK,0.0,0.0,0.247151
TKM,0.0,0.0,0.695718
TLS,0.009463,0.01037,0.067521
TTO,0.0,0.0,0.00687
TUN,0.0,0.0,1.242337
TUR,0.0,0.0,1.66396
TWN,1.330431,0.0,0.0
TZA,0.0,0.0,9.637837
UGA,0.0,0.0,3.557199
URY,0.0,0.0,2.438584
VEN,0.0,0.0,3.763237
YEM,0.0,0.0,3.183531
ZAF,0.0,0.0,5.481237
ZMB,0.0,0.0,2.941371
ZWE,0.0,0.0,10.748748
