country,correction_bnusd_per_mha
AFG,-0.0002518995097489096
AGO,-0.4345769137144089
ALB,-0.20895707607269287
ARE,-0.0
ARG,-0.21808408945798874
ARM,-0.0
ATG,-0.0
AUS,-0.11690390110015869
AUT,1.2174659058672432e-09
AZE,0.9842424392700195
BDI,-1.1082043727128621e-08
BEL,0.08367127552628517
BEN,3.3434815406799316
BFA,1.5375214219093323
BGD,-0.0
BGR,-0.3087073564529419
BHS,-0.0316774295642972
BIH,-0.4457664042711258
BLR,-0.019591745920479298
BLZ,-0.7379351556301117
BOL,-0.5958932638168335
BRA,-0.3751921057701111
BRB,0.9515631198883057
BRN,7.141561985015869
BTN,-0.2860439717769623
BWA,-0.0
CAF,-0.4648502320051193
CAN,-0.21693821251392365
CHE,-0.11954900994896889
CHL,-0.0009876639232970774
CHN,-1.4773446466165296e-08
CIV,-0.4997792989015579
CMR,4.572341203689575
COD,-0.8133789598941803
COG,-0.8903338015079498
COL,-0.7695494294166565
COM,7.03753166853005e-10
CPV,-0.0
CRI,-0.5568442642688751
CUB,-0.1725609302520752
CYP,0.31014789640903473
CZE,-0.2703308165073395
DEU,-0.3941321074962616
DJI,-0.0
DNK,1.7655537724494934
DOM,-9.206058138033768e-09
DZA,-0.0
ECU,-0.10834560729563236
EGY,-0.0
ERI,-5.40463007681069e-09
ESP,-0.044432083144783974
EST,-0.25669121742248535
ETH,-1.3543125509940523e-09
FIN,1.7167028188705444
FJI,-0.8518642485141754
FRA,-2.7449107875554546e-08
GAB,-0.8158496618270874
GBR,-0.04809712804853916
GEO,-0.2082834094762802
GHA,-2.9578572480204457e-08
GIN,-0.16346535086631775
GMB,1.2533257603645325
GNB,1.1492018103599548
GNQ,-0.5248542279005051
GRC,-0.0983348861336708
GRD,0.6877356171607971
GTM,1.0484134893573582e-08
GUF,-1.0722496509552002
GUY,-1.106971263885498
HND,-0.6534972786903381
HRV,-0.18737270683050156
HTI,5.54345191972061e-09
HUN,-0.4170793741941452
IDN,-0.5775293707847595
IND,1.91958349943161
IRL,-2.0363737363027212e-08
IRN,-0.0
IRQ,-0.0
ISL,-0.08585232496261597
ISR,0.7179081439971924
ITA,0.04259064048528671
JAM,3.8619683980941772
JOR,-0.0
JPN,-0.4974181354045868
KAZ,-1.7263098728292903e-09
KEN,-0.17468049377202988
KGZ,-0.0
KHM,-0.4334357678890228
KOR,-1.3437390089521273e-09
LAO,2.91002910657312e-09
LBN,0.524543821811676
LBR,-0.7553918659687042
LBY,-0.0
LKA,-0.19719894230365753
LSO,-0.443109393119812
LTU,-0.05371060222387314
LUX,0.037571508437395096
LVA,-0.3037813901901245
MAR,-0.0
MDA,-0.36603914201259613
MDG,-0.6942926049232483
MEX,-0.08276043459773064
MKD,-0.2818893939256668
MLI,1.2537319515892875e-09
MLT,-0.0
MMR,8.1712165922454e-09
MNE,-0.2836945503950119
MNG,-0.06247838772833347
MOZ,-0.5657002627849579
MRT,-3.3330131710140876e-10
MUS,-3.315589225394433e-08
MWI,-0.19057554006576538
MYS,2.3094663959000172e-08
NAM,-0.006759356707334518
NER,-0.0
NGA,-0.19652122259140015
NIC,-0.5845303535461426
NLD,0.7907610237598419
NOR,0.5854896306991577
NPL,-0.0
NZL,-0.0
OMN,-0.0
PAK,-0.0
PAN,-0.2060026302933693
PER,-0.629342257976532
PHL,-0.12064796686172485
PNG,-0.7848113179206848
POL,0.019568821415305138
PRI,-2.7517170764213006e-09
PRT,-0.09743807837367058
PRY,-0.536945641040802
PSE,0.7093142569065094
ROU,-0.4245498776435852
RUS,-1.064132693073816e-08
RWA,2.7728375151525597e-08
SAU,-0.0
SDN,-0.07209280133247375
SEN,0.3868510276079178
SLB,-0.06834621354937553
SLE,-0.41614776849746704
SLV,3.70309579372406
SOM,-4.7665072999691915e-09
SRB,-0.29573993384838104
SSD,-0.3232929855585098
STP,0.63315150141716
SUR,6.86613392829895
SVK,-0.4092821776866913
SVN,-0.23911219835281372
SWE,1.7724632024765015
SWZ,2.2704852220556404e-08
SYR,0.14306625723838806
TCD,-0.0883248969912529
TGO,-0.3382970243692398
THA,-2.5447631557540262e-08
TJK,0.39508867263793945
TKM,-0.0
TLS,-0.22272039204835892
TTO,-1.403013705214562e-09
TUN,0.3739815652370453
TUR,1.1239208579063416
TWN,-0.3147922307252884
TZA,-0.06884757429361343
UGA,-0.7039666175842285
UKR,-0.02324177697300911
URY,-0.17097113281488419
USA,-0.4052763879299164
UZB,-0.0
VEN,-0.26539246737957
VNM,6.096648454666138
VUT,-0.17226548492908478
YEM,2.695993539525432e-09
ZAF,-0.0033502724254503846
ZMB,-0.3225127309560776
ZWE,1.0959289073944092
