country,correction_bnusd_per_mha
AFG,-0.005161133594810963
AGO,-0.007049433654174209
ALB,-0.09821183234453201
ARG,-0.0809444785118103
ARM,-0.05460340157151222
ATG,0.0340999998152256
AUS,-0.03128411713987589
AUT,-0.21899531781673431
AZE,-0.036839863285422325
BDI,-0.28845450282096863
BEL,-0.25820064544677734
BEN,0.0030046760803088546
BFA,1.7764489879112944e-09
BGD,-0.020607929676771164
BGR,-0.0043803672306239605
BHS,7.456941602868028e-06
BIH,-0.012633680365979671
BLR,-0.04389774426817894
BLZ,0.006115025375038385
BOL,-0.048450568690896034
BRA,-0.0
BRB,0.06365414895117283
BRN,-0.00445932149887085
BTN,-0.015520104672759771
BWA,-0.004490646533668041
CAF,-0.03225172497332096
CAN,-0.038840437307953835
CHE,-0.2943330705165863
CHL,-0.0
CHN,-0.007136703468859196
CIV,-0.013612248003482819
CMR,-0.02420929167419672
COD,-0.0025414376286789775
COG,-0.006577394902706146
COL,-0.12901250272989273
COM,0.0730341337621212
CRI,0.07164520770311356
CUB,0.07831844314932823
CYP,-0.00364678748883307
CZE,-0.05423000454902649
DEU,-0.2081516832113266
DNK,-0.014387193135917187
DOM,0.135988250374794
DZA,-0.028176099061965942
ECU,0.027421215549111366
ERI,-0.08882326260209084
ESP,-0.01773062441498041
EST,-0.022495750337839127
ETH,-0.10941050946712494
FIN,-0.006359426537528634
FJI,-0.06251300685107708
FRA,-0.04293875768780708
GAB,-0.0016002500778995454
GBR,-0.23796887695789337
GEO,-0.004904001485556364
GHA,-0.009708797093480825
GIN,-0.009631218388676643
GMB,-0.041133785620331764
GNB,-0.050939418375492096
GNQ,-0.004660519538447261
GRC,-0.6890252232551575
GRD,-25.0
GTM,0.05690682679414749
GUF,-0.0008016206847969443
GUY,-0.009948543272912502
HND,-0.0
HRV,-0.006773676723241806
HTI,0.14935080707073212
HUN,-0.017763243056833744
IDN,-0.009238163009285927
IND,-0.07316648587584496
IRL,-0.36627139151096344
IRN,-0.027607648633420467
IRQ,0.0002573914680397138
ISR,-0.05606049671769142
ITA,-0.007001484511420131
JAM,0.07433721423149109
JOR,-0.06769862771034241
JPN,-0.10897642001509666
KAZ,-0.017277869395911694
KEN,-0.15489450842142105
KGZ,-0.0027565471827983856
KHM,-0.007013547699898481
KOR,-0.09723673015832901
LAO,-0.005400337046012282
LBN,-0.00841359980404377
LBR,-0.003847434534691274
LBY,-0.04601668193936348
LKA,-0.01273810351267457
LSO,-0.04926375858485699
LTU,-0.004839473171159625
LUX,-0.23270422220230103
LVA,-0.011009860783815384
MAR,-0.04871494695544243
MDA,-0.02360036689788103
MDG,-0.029474059119820595
MEX,-0.11228016018867493
MKD,-0.018750149756669998
MLI,-0.021263918839395046
MLT,-50.0
MMR,-0.0034514153376221657
MNE,-0.023258850909769535
MNG,-0.03297660872340202
MOZ,-0.01317749172449112
MRT,-25.056211583316326
MUS,-0.001962586014997214
MWI,0.004524020478129387
MYS,-0.007143477676436305
NAM,-0.027853602543473244
NER,-0.16109371185302734
NGA,-0.020005838945508003
NIC,-0.0
NLD,-0.0551012959331274
NOR,-0.006028110161423683
NPL,-0.02429347764700651
NZL,-0.13427437096834183
PAK,-0.06307101808488369
PAN,0.017144877463579178
PER,-0.04394698143005371
PHL,-0.012405476067215204
PNG,-0.0020648641511797905
POL,-0.0882321372628212
PRI,0.24223293364048004
PRT,-0.05908585712313652
PRY,-0.11940434947609901
PSE,-0.0626361221075058
ROU,-0.023523076437413692
RUS,-0.005171043332666159
RWA,-0.2518111765384674
SAU,-0.0717448741197586
SDN,-0.13090746849775314
SEN,-0.044763315469026566
SLB,-0.033050086349248886
SLE,-0.02809364628046751
SLV,0.09668631851673126
SOM,-0.10940030962228775
SRB,-0.01401095511391759
SSD,-0.05811570584774017
STP,-0.07236352562904358
SUR,-0.008566904813051224
SVK,-0.02137006726115942
SVN,-0.14811943471431732
SWE,-0.008610823657363653
SWZ,-0.018860507756471634
SYR,-0.031588541343808174
TCD,-0.08650866895914078
TGO,-0.0047154854983091354
THA,-0.004983547842130065
TJK,-0.062431663274765015
TKM,-0.08746051788330078
TLS,-0.04105744883418083
TTO,0.03629495948553085
TUN,-0.01837843656539917
TUR,-0.031463329680263996
TWN,-0.007286104839295149
TZA,-0.0665024109184742
UGA,-0.16819533705711365
UKR,-0.0034714246867224574
URY,-0.26532864570617676
USA,-0.11243733391165733
UZB,-0.10028364136815071
VEN,-0.0
VNM,-0.01417642505839467
VUT,-0.2460579052567482
YEM,-0.15663480758666992
ZAF,-0.0
ZMB,-0.00368722272105515
ZWE,-0.036111222580075264
