# SPDX-FileCopyrightText: 2025 Koen van Greevenbroek
#
# SPDX-License-Identifier: CC0-1.0
#
# Mapping from ISO-alpha3 country codes to GLEAM 2.0 regions.
#
# Source: Derived from country_wirsenius_region.csv with adjustments
# to match GLEAM regional definitions, cross-checked against the
# GLEAM methodology report Annex 5 (Regional and Country List).
#
# GLEAM regions: NA (North America), RUSS (Russian Federation),
# WE (Western Europe), EE (Eastern Europe), NENA (Near East and
# North Africa), ESEA (East and Southeast Asia), OC (Oceania),
# SA (South Asia), LAC (Latin America and Caribbean),
# SSA (Sub-Saharan Africa).
#
country,gleam_region
ABW,LAC
AFG,SA
AGO,SSA
AIA,LAC
ALA,WE
ALB,WE
AND,WE
ARE,NENA
ARG,LAC
ARM,NENA
ASM,OC
ATA,NA
ATF,SSA
ATG,LAC
AUS,OC
AUT,WE
AZE,NENA
BDI,SSA
BEL,WE
BEN,SSA
BES,LAC
BFA,SSA
BGD,SA
BGR,EE
BHR,NENA
BHS,LAC
BIH,WE
BLM,LAC
BLR,EE
BLZ,LAC
BMU,NA
BOL,LAC
BRA,LAC
BRB,LAC
BRN,ESEA
BTN,SA
BVT,LAC
BWA,SSA
CAF,SSA
CAN,NA
CCK,NA
CHE,WE
CHL,LAC
CHN,ESEA
CIV,SSA
CMR,SSA
COD,SSA
COG,SSA
COK,OC
COL,LAC
COM,SSA
CPV,SSA
CRI,LAC
CUB,LAC
CUW,LAC
CXR,ESEA
CYM,LAC
CYP,NENA
CZE,EE
DEU,WE
DJI,SSA
DMA,LAC
DNK,WE
DOM,LAC
DZA,NENA
ECU,LAC
EGY,NENA
ERI,SSA
ESH,NENA
ESP,WE
EST,WE
ETH,SSA
FIN,WE
FJI,OC
FLK,LAC
FRA,WE
FRO,WE
FSM,OC
GAB,SSA
GBR,WE
GEO,NENA
GGY,WE
GHA,SSA
GIB,WE
GIN,SSA
GLP,LAC
GMB,SSA
GNB,SSA
GNQ,SSA
GRC,WE
GRD,LAC
GRL,NA
GTM,LAC
GUF,LAC
GUM,OC
GUY,LAC
HKG,ESEA
HMD,OC
HND,LAC
HRV,WE
HTI,LAC
HUN,EE
IDN,ESEA
IMN,WE
IND,SA
IOT,SA
IRL,WE
IRN,SA
IRQ,NENA
ISL,WE
ISR,NENA
ITA,WE
JAM,LAC
JEY,WE
JOR,NENA
JPN,ESEA
KAZ,NENA
KEN,SSA
KGZ,NENA
KHM,ESEA
KIR,OC
KNA,LAC
KOR,ESEA
KWT,NENA
LAO,ESEA
LBN,NENA
LBR,SSA
LBY,NENA
LCA,LAC
LIE,WE
LKA,SA
LSO,SSA
LTU,WE
LUX,WE
LVA,WE
MAC,ESEA
MAF,LAC
MAR,NENA
MCO,WE
MDA,EE
MDG,SSA
MDV,SA
MEX,LAC
MHL,OC
MKD,WE
MLI,SSA
MLT,WE
MMR,ESEA
MNE,WE
MNG,ESEA
MNP,OC
MOZ,SSA
MRT,SSA
MSR,LAC
MTQ,LAC
MUS,SSA
MWI,SSA
MYS,ESEA
MYT,SSA
NAM,SSA
NCL,OC
NER,SSA
NFK,OC
NGA,SSA
NIC,LAC
NIU,OC
NLD,WE
NOR,WE
NPL,SA
NRU,OC
NZL,OC
OMN,NENA
PAK,SA
PAN,LAC
PCN,OC
PER,LAC
PHL,ESEA
PLW,OC
PNG,OC
POL,EE
PRI,LAC
PRK,ESEA
PRT,WE
PRY,LAC
PSE,NENA
PYF,OC
QAT,NENA
REU,SSA
ROU,EE
RUS,RUSS
RWA,SSA
SAU,NENA
SDN,NENA
SEN,SSA
SGP,ESEA
SGS,LAC
SHN,SSA
SJM,WE
SLB,OC
SLE,SSA
SLV,LAC
SMR,WE
SOM,SSA
SPM,OC
SRB,WE
SSD,SSA
STP,SSA
SUR,LAC
SVK,EE
SVN,WE
SWE,WE
SWZ,SSA
SXM,LAC
SYC,SSA
SYR,NENA
TCA,LAC
TCD,SSA
TGO,SSA
THA,ESEA
TJK,NENA
TKL,OC
TKM,NENA
TLS,ESEA
TON,OC
TTO,LAC
TUN,NENA
TUR,NENA
TUV,OC
TWN,ESEA
TZA,SSA
UGA,SSA
UKR,EE
UMI,OC
URY,LAC
USA,NA
UZB,NENA
VAT,WE
VCT,LAC
VEN,LAC
VGB,LAC
VIR,LAC
VNM,ESEA
VUT,OC
WLF,OC
WSM,OC
YEM,NENA
ZAF,SSA
ZMB,SSA
ZWE,SSA
