# SPDX-FileCopyrightText: 2026 Koen van Greevenbroek
#
# SPDX-License-Identifier: CC0-1.0
# Mapping ISO-alpha3 country -> GLEAM 2.0 region used by Mottet et al. (2017),
# Global Food Security 14, 1-8 (doi:10.1016/j.gfs.2017.01.001). Regions:
# NAM North America, RUSS Russian Federation + Central Asia, WE Western Europe,
# EE Eastern Europe, NENA Near East & North Africa, ESEA East & Southeast Asia,
# OC Oceania, SA South Asia, LAC Latin America & Caribbean, SSA Sub-Saharan Africa.
country,mottet_region
AFG,SA
AGO,SSA
ALB,EE
ARE,NENA
ARG,LAC
ARM,NENA
ASM,OC
ATG,LAC
AUS,OC
AUT,WE
AZE,NENA
BDI,SSA
BEL,WE
BEN,SSA
BFA,SSA
BGD,SA
BGR,EE
BHS,LAC
BIH,EE
BLR,EE
BLZ,LAC
BOL,LAC
BRA,LAC
BRB,LAC
BRN,ESEA
BTN,SA
BWA,SSA
CAF,SSA
CAN,NAM
CHE,WE
CHL,LAC
CHN,ESEA
CIV,SSA
CMR,SSA
COD,SSA
COG,SSA
COL,LAC
COM,SSA
CPV,SSA
CRI,LAC
CUB,LAC
CYP,WE
CZE,EE
DEU,WE
DJI,SSA
DNK,WE
DOM,LAC
DZA,NENA
ECU,LAC
EGY,NENA
ERI,SSA
ESP,WE
EST,EE
ETH,SSA
FIN,WE
FJI,OC
FRA,WE
GAB,SSA
GBR,WE
GEO,NENA
GHA,SSA
GIN,SSA
GMB,SSA
GNB,SSA
GNQ,SSA
GRC,WE
GRD,LAC
GTM,LAC
GUF,LAC
GUY,LAC
HND,LAC
HRV,EE
HTI,LAC
HUN,EE
IDN,ESEA
IND,SA
IRL,WE
IRN,NENA
IRQ,NENA
ISL,WE
ISR,NENA
ITA,WE
JAM,LAC
JOR,NENA
JPN,ESEA
KAZ,RUSS
KEN,SSA
KGZ,RUSS
KHM,ESEA
KOR,ESEA
LAO,ESEA
LBN,NENA
LBR,SSA
LBY,NENA
LKA,SA
LSO,SSA
LTU,EE
LUX,WE
LVA,EE
MAR,NENA
MDA,EE
MDG,SSA
MEX,LAC
MKD,EE
MLI,SSA
MLT,WE
MMR,ESEA
MNE,EE
MNG,ESEA
MOZ,SSA
MRT,SSA
MUS,SSA
MWI,SSA
MYS,ESEA
NAM,SSA
NER,SSA
NGA,SSA
NIC,LAC
NLD,WE
NOR,WE
NPL,SA
NZL,OC
OMN,NENA
PAK,SA
PAN,LAC
PER,LAC
PHL,ESEA
PNG,OC
POL,EE
PRI,LAC
PRT,WE
PRY,LAC
PSE,NENA
ROU,EE
RUS,RUSS
RWA,SSA
SAU,NENA
SDN,SSA
SEN,SSA
SLB,OC
SLE,SSA
SLV,LAC
SOM,SSA
SRB,EE
SSD,SSA
STP,SSA
SUR,LAC
SVK,EE
SVN,EE
SWE,WE
SWZ,SSA
SYR,NENA
TCD,SSA
TGO,SSA
THA,ESEA
TJK,RUSS
TKM,RUSS
TLS,ESEA
TTO,LAC
TUN,NENA
TUR,NENA
TWN,ESEA
TZA,SSA
UGA,SSA
UKR,EE
URY,LAC
USA,NAM
UZB,RUSS
VEN,LAC
VNM,ESEA
VUT,OC
YEM,NENA
ZAF,SSA
ZMB,SSA
ZWE,SSA
