# SPDX-FileCopyrightText: 2025 Koen van Greevenbroek
#
# SPDX-License-Identifier: CC-BY-4.0
#
# Mapping from model foods to FAOSTAT Food Balance Sheet (FBS) item codes.
# Used for calculating within-group food consumption ratios from FBS supply data.
#
# When multiple model foods map to the same FBS item, their supply is split
# equally among them during ratio calculation.
#
# A single model food may also map to multiple FBS item codes (multiple rows with
# the same ``food`` value). In that case, all mapped FBS supplies are aggregated
# for that food before within-group normalization.
#
# Byproducts (wheat-bran, rice-bran, etc.) are excluded from ratio calculation
# but included here for completeness.
#
# Item codes from: https://www.fao.org/faostat/en/#data/FBS
food,faostat_item,item_code
flour-white,Wheat and products,2511
flour-wholemeal,Wheat and products,2511
rice-white,Rice and products,2807
rice-brown,Rice and products,2807
maize,Maize and products,2514
sorghum,Sorghum and products,2518
buckwheat,Cereals other,2520
foxtail-millet,Millet and products,2517
pearl-millet,Millet and products,2517
barley-hulled,Barley and products,2513
oat,Oats,2516
rye,Rye and products,2515
soy,Soyabeans,2555
cowpea,Beans,2546
gram,Beans,2546
phaseolus-bean,Beans,2546
pigeon-pea,Beans,2546
dry-pea,Peas,2547
chickpea,Beans,2546
potato,Potatoes and products,2531
sweet-potato,Sweet potatoes,2533
cassava,Cassava and products,2532
yam,Yams,2535
# Residual starchy roots item used for projection onto modeled starchy foods
potato,"Roots, Other",2534
tomato,Tomatoes and products,2601
carrot,Vegetables other,2605
onion,Onions,2602
cabbage,Vegetables other,2605
banana,Bananas,2615
citrus,"Oranges, Mandarines",2611
citrus,"Lemons, Limes and products",2612
citrus,Grapefruit and products,2613
citrus,Citrus Other,2614
coconut,Coconuts - Incl Copra,2560
# Residual nuts item used for projection onto modeled nuts and seeds
groundnut,Nuts and products,2551
groundnut,Groundnuts,2552
sesame-seed,Sesame seed,2561
sunflower-seed,Sunflower seed,2557
sunflower-oil,Sunflowerseed Oil,2573
soybean-oil,Soyabean Oil,2571
groundnut-oil,Groundnut Oil,2572
sesame-oil,Sesameseed Oil,2579
coconut-oil,Coconut Oil,2578
palm-oil,Palm Oil,2577
olive-oil,Olive Oil,2580
rapeseed-oil,Rape and Mustard Oil,2574
sugar,Sugar (Raw Equivalent),2542
cocoa-powder,Cocoa Beans and products,2633
coffee-green,Coffee and products,2630
tea-dried,Tea (including Mate),2635
meat-cattle,Bovine Meat,2731
meat-pig,Pigmeat,2733
meat-sheep,Mutton & Goat Meat,2732
meat-chicken,Poultry Meat,2734
dairy,Milk - Excluding Butter,2848
dairy-buffalo,Milk - Excluding Butter,2848
cottonseed-oil,Cottonseed Oil,2575
eggs,Eggs,2744
