# SPDX-FileCopyrightText: 2025 Koen van Greevenbroek
#
# SPDX-License-Identifier: CC-BY-4.0
country,product,feed_category,multiplier
AFG,dairy,ruminant_forage,1.0
AFG,dairy,ruminant_grain,1.0
AFG,dairy,ruminant_protein,1.0
AFG,dairy,ruminant_roughage,2.0
AFG,dairy-buffalo,ruminant_forage,1.0
AFG,dairy-buffalo,ruminant_grain,1.0
AFG,dairy-buffalo,ruminant_protein,1.0
AFG,dairy-buffalo,ruminant_roughage,2.0
AFG,eggs,monogastric_grain,1.0
AFG,eggs,monogastric_low_quality,1.0
AFG,eggs,monogastric_protein,1.0
AFG,meat-cattle,ruminant_forage,1.0
AFG,meat-cattle,ruminant_grain,1.0
AFG,meat-cattle,ruminant_protein,1.0
AFG,meat-cattle,ruminant_roughage,2.0
AFG,meat-chicken,monogastric_grain,1.0
AFG,meat-chicken,monogastric_low_quality,1.0
AFG,meat-chicken,monogastric_protein,1.0
AFG,meat-pig,monogastric_grain,1.0
AFG,meat-pig,monogastric_low_quality,1.0
AFG,meat-pig,monogastric_protein,1.0
AFG,meat-sheep,ruminant_forage,1.0
AFG,meat-sheep,ruminant_grain,1.0
AFG,meat-sheep,ruminant_protein,1.0
AFG,meat-sheep,ruminant_roughage,2.0
AGO,dairy,ruminant_forage,1.2482786594281083
AGO,dairy,ruminant_grain,1.0
AGO,dairy,ruminant_protein,1.0
AGO,dairy,ruminant_roughage,1.971480940711053
AGO,dairy-buffalo,ruminant_forage,1.2482786594281083
AGO,dairy-buffalo,ruminant_grain,1.0
AGO,dairy-buffalo,ruminant_protein,1.0
AGO,dairy-buffalo,ruminant_roughage,1.971480940711053
AGO,eggs,monogastric_grain,1.0
AGO,eggs,monogastric_low_quality,1.0
AGO,eggs,monogastric_protein,1.0
AGO,meat-cattle,ruminant_forage,1.2482786594281083
AGO,meat-cattle,ruminant_grain,1.0
AGO,meat-cattle,ruminant_protein,1.0
AGO,meat-cattle,ruminant_roughage,1.971480940711053
AGO,meat-chicken,monogastric_grain,1.0
AGO,meat-chicken,monogastric_low_quality,1.0
AGO,meat-chicken,monogastric_protein,1.0
AGO,meat-pig,monogastric_grain,1.0
AGO,meat-pig,monogastric_low_quality,1.0
AGO,meat-pig,monogastric_protein,1.0
AGO,meat-sheep,ruminant_forage,1.2482786594281083
AGO,meat-sheep,ruminant_grain,1.0
AGO,meat-sheep,ruminant_protein,1.0
AGO,meat-sheep,ruminant_roughage,1.971480940711053
ALB,dairy,ruminant_forage,2.0
ALB,dairy,ruminant_grain,1.0
ALB,dairy,ruminant_protein,1.0
ALB,dairy,ruminant_roughage,1.0
ALB,dairy-buffalo,ruminant_forage,2.0
ALB,dairy-buffalo,ruminant_grain,1.0
ALB,dairy-buffalo,ruminant_protein,1.0
