# Crop-to-food conversion pathways
#
# Each pathway transforms one crop into one or more food products.
# Multiple pathways for the same crop represent alternative processing options.
# The model will choose which pathways to activate based on demand and costs.
#
# Conversion factors should sum to <= 1.0 per pathway (mass balance with losses).
# Sources are primarily from FAO Nutrient Conversion Table for SUA (2024), sheet 03,
# and FAO Technical Conversion Factors for processing extraction rates.
#
# Source URL aliases used in the url column:
# - FAO_SUA_NCT_2024: https://www.fao.org/food-composition/tables-and-databases/detail/global-nutrient-conversion-table-for-fao-supply-utilization-accounts/en
# - FAO_TCF: https://www.fao.org/fileadmin/templates/ess/documents/methodology/tcf.pdf
# - FAO_GAEZ: https://www.fao.org/gaez/en
# - FAO_PALM_PROCESSING: https://www.fao.org/4/y4355e/y4355e04.htm
# - GAEZ_OLIVE_OIL_BASIS: https://github.com/un-fao/gaezv5/wiki/08.-Module-VI-(Actual-yield-and-production)
#                         (Module VI OOC group reports yield in oil-equivalent t/ha;
#                          v4 Model Documentation Table 9-2 documents the same convention.)
# - USDA_ARS_DDGS: https://www.ars.usda.gov/research/publications/publication/?seqNo115=243737
# - GLEAM_TABLE_3_3: data/bundled/gleam3/ruminants_feed_yield_fractions.csv
# - NCC_COTTONSEED: https://www.cotton.org/pubs/cottoncounts/fieldtofabric/cottonseed.cfm
# - FEEDIPEDIA_COPRA: https://www.feedipedia.org/node/46
#
# Per-crop "food_conversion" handling (inverse_moisture vs identity) lives in
# data/curated/crop_moisture_content.csv -- see that file for semantics.
#
# Columns:
# - pathway: unique identifier for the processing pathway
# - crop: input crop name (must match config crops list)
# - food: output food product name
# - factor: conversion factor (mass of food output per unit mass of crop input)
# - description: explanation of the conversion and source reference
# - url: source URL alias from above; blank when no external source is needed
#
pathway,crop,food,factor,description,url
white_flour,wheat,flour-white,0.75,White flour extraction rate (FAO SUA 2024 sheet 03),FAO_SUA_NCT_2024
white_flour,wheat,wheat-bran,0.2,Bran byproduct from white flour milling (FAO SUA 2024 sheet 03),FAO_SUA_NCT_2024
white_flour,wheat,wheat-germ,0.03,Germ separated during white flour milling (FAO SUA 2024 sheet 03),FAO_SUA_NCT_2024
wholemeal_flour,wheat,flour-wholemeal,1.0,No processing,
milled_rice,dryland-rice,rice-white,0.68,Milled white rice from paddy - husking + polishing losses (FAO SUA 2024 sheet 03),FAO_SUA_NCT_2024
milled_rice,dryland-rice,rice-bran,0.08,Bran from rice milling (FAO SUA 2024 sheet 03),FAO_SUA_NCT_2024
brown_rice,dryland-rice,rice-brown,0.77,Brown rice after hulling only (FAO SUA 2024 sheet 03),FAO_SUA_NCT_2024
milled_rice_wetland,wetland-rice,rice-white,0.68,Milled white rice from paddy - husking + polishing losses (FAO SUA 2024 sheet 03),FAO_SUA_NCT_2024
milled_rice_wetland,wetland-rice,rice-bran,0.08,Bran from rice milling (FAO SUA 2024 sheet 03),FAO_SUA_NCT_2024
brown_rice_wetland,wetland-rice,rice-brown,0.77,Brown rice after hulling only (FAO SUA 2024 sheet 03),FAO_SUA_NCT_2024
hulled_barley,barley,barley-hulled,0.72,Hulled barley with processing losses (FAO SUA 2024 sheet 03),FAO_SUA_NCT_2024
hulled_barley,barley,barley-bran,0.12,Bran from barley hulling (FAO SUA 2024 sheet 03),FAO_SUA_NCT_2024
hulled_oat,oat,oat,0.78,Oat groats after hull removal (FAO SUA 2024 sheet 03),FAO_SUA_NCT_2024
hulled_oat,oat,oat-bran,0.06,Bran from oat processing (FAO SUA 2024 sheet 03),FAO_SUA_NCT_2024
hulled_buckwheat,buckwheat,buckwheat,0.78,Dehulled buckwheat groats (FAO SUA 2024 sheet 03),FAO_SUA_NCT_2024
hulled_buckwheat,buckwheat,buckwheat-hulls,0.1,Hulls from buckwheat processing (FAO SUA 2024 sheet 03),FAO_SUA_NCT_2024
rye_grain,rye,rye,1.0,No processing,
sorghum_grain,sorghum,sorghum,1.0,No processing,
foxtail_millet_grain,foxtail-millet,foxtail-millet,1.0,No processing,
pearl_millet_grain,pearl-millet,pearl-millet,1.0,No processing,
maize_grain,maize,maize,1.0,No processing,
soybean_whole,soybean,soy,1.0,No processing,
soybean_oil,soybean,soybean-oil,0.18,Oil extraction from soybeans (FAO SUA 2024 sheet 03),FAO_SUA_NCT_2024
soybean_oil,soybean,oilseed-meal,0.78,Oilcake byproduct from soybean oil extraction (FAO SUA 2024 sheet 03),FAO_SUA_NCT_2024
dry_pea_whole,dry-pea,dry-pea,1.0,No processing,
chickpea_whole,chickpea,chickpea,1.0,No processing,
cowpea_whole,cowpea,cowpea,1.0,No processing,
gram_whole,gram,gram,1.0,No processing,
phaseolus_bean_whole,phaseolus-bean,phaseolus-bean,1.0,No processing,
pigeonpea_whole,pigeonpea,pigeon-pea,1.0,No processing,
potato_fresh,white-potato,potato,1.0,No processing,
sweet_potato_fresh,sweet-potato,sweet-potato,1.0,No processing,
cassava_fresh,cassava,cassava,1.0,No processing,
yam_fresh,yam,yam,1.0,No processing,
tomato_fresh,tomato,tomato,1.0,No processing,
carrot_fresh,carrot,carrot,1.0,No processing,
onion_fresh,onion,onion,1.0,No processing,
cabbage_fresh,cabbage,cabbage,1.0,No processing,
banana_peeled,banana,banana,1.0,No processing,
