# SPDX-FileCopyrightText: 2026 Koen van Greevenbroek
#
# SPDX-License-Identifier: CC0-1.0
#
# Mapping from GLEAM feed codes to model entities
#
# Columns:
#   - gleam_code: GLEAM feed material code (from Tables 3.1 and 3.5)
#   - model_entity: Name in model (crop/food/residue)
#   - entity_type: Type of entity (crop/food/residue)
#   - animal_type: Which animals can use (ruminant/monogastric/both)
#   - notes: Description and mapping details
#
gleam_code,model_entity,entity_type,animal_type,notes
GRASSF,grassland,forage,ruminant,Fresh grass from grazing/managed grassland
GRASSH,grassland,forage,ruminant,Hay or silage from grass (same as GRASSF for model)
GRASSH2,grassland,forage,ruminant,Hay from adjacent areas (same as GRASSF)
GRASSLEGF,alfalfa,crop,ruminant,Fresh grass-legume mixture → alfalfa
GRASSLEGH,alfalfa,crop,ruminant,Hay/silage from grass-legume → alfalfa
FDDRSIL,silage-maize,crop,ruminant,Fodder crops silage → silage-maize
FDDRSIL,biomass-sorghum,crop,ruminant,Approximate match though sorghum has lower nitrogen content than assumed for FDDRSIL
RSTRAW,rice-straw,residue,ruminant,Rice straw and residues
WSTRAW,wheat-straw,residue,ruminant,Wheat straw and residues
BSTRAW,barley-straw,residue,ruminant,Barley/rye/oat straw
ZSTOVER,maize-stover,residue,ruminant,Maize stover and residues
MSTOVER,millet-stover,residue,ruminant,Millet stover and residues
SSTOVER,sorghum-stover,residue,ruminant,Sorghum stover and residues
TOPS,sugarcane-tops,residue,both,Sugarcane tops and leaves
PSTRAW,pulse-straw,residue,monogastric,Legume crop residues
BNSTEM,banana-stem,residue,monogastric,Banana stem residues
LEAVES,,residue,both,Leaves from trees/forest (not modeled for now)
FDDRBEET,sugarbeet,crop,ruminant,Fodder beet → sugar beet
GRAINS,barley,crop,ruminant,Barley and other cereals (using barley as representative)
GRAINS,oat,crop,ruminant,Oat grain represented by GLEAM mixed cereals nutritional profile
GRAINS,rye,crop,ruminant,Rye grain represented by GLEAM mixed cereals nutritional profile
GRAINS,buckwheat,crop,ruminant,Buckwheat grain represented by GLEAM mixed cereals nutritional profile
CORN,maize,crop,both,Maize grain
WHEAT,wheat,crop,monogastric,Wheat grain
MAIZE,maize,crop,monogastric,Maize grain (same as CORN)
BARLEY,barley,crop,monogastric,Barley grain
BARLEY,oat,crop,monogastric,Oat grain proxied with barley nutritional profile
BARLEY,rye,crop,monogastric,Rye grain proxied with barley nutritional profile
BARLEY,buckwheat,crop,monogastric,Buckwheat grain proxied with barley nutritional profile
MILLET,pearl-millet,crop,monogastric,Millet grain → pearl millet
RICE,wetland-rice,crop,monogastric,Rice grain → wetland rice
SORGHUM,sorghum,crop,monogastric,Sorghum grain
SOY,soybean,crop,monogastric,Soybean grain
SOY,groundnut,crop,monogastric,"Whole groundnuts (peanuts) as monogastric feed; SOY proxy is appropriate as groundnut and soybean both supply high-protein, high-fat oilseed feed material. Real-world flow: lower-grade or unshelled peanuts in West Africa/India go directly to pig and poultry feed without oil pressing."
PULSES,dry-pea,crop,monogastric,Legume grains → dry pea as representative
PULSES,cowpea,crop,monogastric,Legume grains → cowpea
PULSES,pigeonpea,crop,monogastric,Legume grains → pigeonpea
PULSES,phaseolus-bean,crop,monogastric,"Legume grains → phaseolus bean (cull/broken beans + whole-bean inclusion as monogastric protein supplement; FBS books a small Feed share for item 2546)"
PULSES,chickpea,crop,monogastric,"Legume grains → chickpea (minor monogastric feed; FBS Pulses-Other Feed element)"
PULSES,gram,crop,monogastric,"Legume grains → gram (Bengal gram = chickpea; same minor feed role)"
CASSAVA,cassava,crop,monogastric,Cassava roots/pellets
CASSAVA,white-potato,crop,monogastric,Potato tubers as pig feed (CASSAVA nutritional proxy)
CASSAVA,sweet-potato,crop,monogastric,Sweet potato roots as pig feed (CASSAVA nutritional proxy)
BNFRUIT,banana,crop,monogastric,Banana fruit
MLSOY,oilseed-meal,food,both,Soybean meal → oilseed meal (generic oilseed meal pool)
MLRAPE,rapeseed-meal,food,both,Rapeseed/canola meal
MLCTTN,oilseed-meal,food,both,Cottonseed meal → generic oilcake (oilseed-meal proxy)
MLOILSDS,oilseed-meal,food,monogastric,Other oilseed meals → oilseed meal
PKEXP,palm-kernel-meal,food,both,"Palm kernel cake — byproduct of palm kernel oil extraction (Feedipedia: ~17 % CP, ~5–12 % residual oil, high fibre). Modelled via the palm_oil pathway in foods.csv at 0.022 t PKM per t FFB."
GRNBYDRY,wheat-bran,food,both,"Dry grain byproducts (brans, middlings) → wheat bran"
GRNBYWET,ddgs,food,both,DDGS from grain ethanol production (wet grain byproducts)
MZGLTM,maize-gluten-meal,food,ruminant,"Corn gluten meal byproduct of wet-milling, ~60 % CP. Produced by the maize_wetmill pathway."
MZGLTF,maize-gluten-feed,food,ruminant,"Corn gluten feed byproduct of wet-milling, ~21 % CP. Produced by the maize_wetmill pathway."
BPULP,beet-pulp,food,ruminant,"Sugar beet pulp byproduct of sucrose extraction (~8 % CP, high fibre). Produced by the sugarbeet_sugar pathway at 0.05 t dry pulp per t fresh beet."
MOLASSES,molasses,food,both,Sugarcane molasses from ethanol production
RAPESEED,rapeseed,crop,monogastric,Rapeseed whole seeds
SOYOIL,soybean-oil,food,monogastric,Soybean oil (processed)
FISHMEAL,,food,monogastric,Fish industry byproduct - not modeled
SYNTHETIC,,food,monogastric,Synthetic additives - not modeled
LIMESTONE,,food,monogastric,Calcium source for laying hens - not modeled
SWILL,,food,monogastric,Household food waste - not modeled
