# SPDX-FileCopyrightText: FAO 2017
#
# SPDX-License-Identifier: CC-BY-4.0
# Ruminant roughage composition by GLEAM 2.0 region x species, transcribed from
# Mottet et al. (2017) 'Livestock: on our plates or eating at our table?',
# Global Food Security 14, 1-8 (doi:10.1016/j.gfs.2017.01.001), Supplementary
# Information Tables SI 4-9. 'share' is the fraction of total DM intake for each
# roughage component; downstream (prepare_feed_baseline.py) renormalizes within
# the six roughage components per (region, species). Used to re-split GLEAM 3.0
# total roughage, whose availability-based grass/residue split over-attributes
# grass in South/East Asia relative to feeding surveys.
region,species,component,share
EE,beef_cattle,crop_residues,0.021
EE,beef_cattle,fresh_grass,0.21
EE,beef_cattle,hay,0.219
EE,beef_cattle,legumes_silage,0.323
EE,beef_cattle,sugarcane_tops,0.0
EE,beef_cattle,tree_leaves,0.0
EE,dairy_buffalo,crop_residues,0.0
EE,dairy_buffalo,fresh_grass,0.389
EE,dairy_buffalo,hay,0.259
EE,dairy_buffalo,legumes_silage,0.173
EE,dairy_buffalo,sugarcane_tops,0.0
EE,dairy_buffalo,tree_leaves,0.0
EE,dairy_cattle,crop_residues,0.018
EE,dairy_cattle,fresh_grass,0.225
EE,dairy_cattle,hay,0.228
EE,dairy_cattle,legumes_silage,0.332
EE,dairy_cattle,sugarcane_tops,0.0
EE,dairy_cattle,tree_leaves,0.0
EE,dairy_small_ruminant,crop_residues,0.118
EE,dairy_small_ruminant,fresh_grass,0.325
EE,dairy_small_ruminant,hay,0.25
EE,dairy_small_ruminant,legumes_silage,0.1
EE,dairy_small_ruminant,sugarcane_tops,0.0
EE,dairy_small_ruminant,tree_leaves,0.0
EE,meat_small_ruminant,crop_residues,0.139
EE,meat_small_ruminant,fresh_grass,0.37
EE,meat_small_ruminant,hay,0.29
EE,meat_small_ruminant,legumes_silage,0.12
EE,meat_small_ruminant,sugarcane_tops,0.0
EE,meat_small_ruminant,tree_leaves,0.0
ESEA,beef_cattle,crop_residues,0.462
ESEA,beef_cattle,fresh_grass,0.236
ESEA,beef_cattle,hay,0.187
ESEA,beef_cattle,legumes_silage,0.007
ESEA,beef_cattle,sugarcane_tops,0.008
ESEA,beef_cattle,tree_leaves,0.028
ESEA,dairy_buffalo,crop_residues,0.395
ESEA,dairy_buffalo,fresh_grass,0.357
ESEA,dairy_buffalo,hay,0.137
ESEA,dairy_buffalo,legumes_silage,0.0
ESEA,dairy_buffalo,sugarcane_tops,0.022
ESEA,dairy_buffalo,tree_leaves,0.023
ESEA,dairy_cattle,crop_residues,0.384
ESEA,dairy_cattle,fresh_grass,0.224
ESEA,dairy_cattle,hay,0.192
ESEA,dairy_cattle,legumes_silage,0.027
ESEA,dairy_cattle,sugarcane_tops,0.006
ESEA,dairy_cattle,tree_leaves,0.023
ESEA,dairy_small_ruminant,crop_residues,0.269
ESEA,dairy_small_ruminant,fresh_grass,0.23
ESEA,dairy_small_ruminant,hay,0.338
ESEA,dairy_small_ruminant,legumes_silage,0.0
ESEA,dairy_small_ruminant,sugarcane_tops,0.003
ESEA,dairy_small_ruminant,tree_leaves,0.021
ESEA,meat_buffalo,crop_residues,0.435
ESEA,meat_buffalo,fresh_grass,0.378
ESEA,meat_buffalo,hay,0.12
ESEA,meat_buffalo,legumes_silage,0.0
ESEA,meat_buffalo,sugarcane_tops,0.021
ESEA,meat_buffalo,tree_leaves,0.025
ESEA,meat_small_ruminant,crop_residues,0.392
ESEA,meat_small_ruminant,fresh_grass,0.197
ESEA,meat_small_ruminant,hay,0.326
ESEA,meat_small_ruminant,legumes_silage,0.0
ESEA,meat_small_ruminant,sugarcane_tops,0.003
ESEA,meat_small_ruminant,tree_leaves,0.015
LAC,beef_cattle,crop_residues,0.102
LAC,beef_cattle,fresh_grass,0.651
LAC,beef_cattle,hay,0.094
LAC,beef_cattle,legumes_silage,0.0
LAC,beef_cattle,sugarcane_tops,0.025
LAC,beef_cattle,tree_leaves,0.041
LAC,dairy_buffalo,crop_residues,0.084
LAC,dairy_buffalo,fresh_grass,0.653
LAC,dairy_buffalo,hay,0.122
LAC,dairy_buffalo,legumes_silage,0.0
LAC,dairy_buffalo,sugarcane_tops,0.022
LAC,dairy_buffalo,tree_leaves,0.052
LAC,dairy_cattle,crop_residues,0.087
LAC,dairy_cattle,fresh_grass,0.549
LAC,dairy_cattle,hay,0.154
LAC,dairy_cattle,legumes_silage,0.0
LAC,dairy_cattle,sugarcane_tops,0.026
LAC,dairy_cattle,tree_leaves,0.065
LAC,dairy_small_ruminant,crop_residues,0.087
LAC,dairy_small_ruminant,fresh_grass,0.749
LAC,dairy_small_ruminant,hay,0.119
LAC,dairy_small_ruminant,legumes_silage,0.0
LAC,dairy_small_ruminant,sugarcane_tops,0.021
LAC,dairy_small_ruminant,tree_leaves,0.003
LAC,meat_buffalo,crop_residues,0.089
LAC,meat_buffalo,fresh_grass,0.059
LAC,meat_buffalo,hay,0.132
LAC,meat_buffalo,legumes_silage,0.0
LAC,meat_buffalo,sugarcane_tops,0.023
LAC,meat_buffalo,tree_leaves,0.053
LAC,meat_small_ruminant,crop_residues,0.099
LAC,meat_small_ruminant,fresh_grass,0.689
LAC,meat_small_ruminant,hay,0.188
LAC,meat_small_ruminant,legumes_silage,0.0
LAC,meat_small_ruminant,sugarcane_tops,0.014
LAC,meat_small_ruminant,tree_leaves,0.002
NAM,beef_cattle,crop_residues,0.0
NAM,beef_cattle,fresh_grass,0.352
NAM,beef_cattle,hay,0.394
NAM,beef_cattle,legumes_silage,0.078
NAM,beef_cattle,sugarcane_tops,0.0
NAM,beef_cattle,tree_leaves,0.0
NAM,dairy_buffalo,crop_residues,0.052
NAM,dairy_buffalo,fresh_grass,0.0
NAM,dairy_buffalo,hay,0.156
NAM,dairy_buffalo,legumes_silage,0.344
NAM,dairy_buffalo,sugarcane_tops,0.0
NAM,dairy_buffalo,tree_leaves,0.0
NAM,dairy_cattle,crop_residues,0.0
NAM,dairy_cattle,fresh_grass,0.144
NAM,dairy_cattle,hay,0.17
NAM,dairy_cattle,legumes_silage,0.306
NAM,dairy_cattle,sugarcane_tops,0.0
NAM,dairy_cattle,tree_leaves,0.0
NAM,dairy_small_ruminant,crop_residues,0.0
NAM,dairy_small_ruminant,fresh_grass,0.297
NAM,dairy_small_ruminant,hay,0.375
NAM,dairy_small_ruminant,legumes_silage,0.026
NAM,dairy_small_ruminant,sugarcane_tops,0.0
NAM,dairy_small_ruminant,tree_leaves,0.0
NAM,meat_small_ruminant,crop_residues,0.0
NAM,meat_small_ruminant,fresh_grass,0.348
NAM,meat_small_ruminant,hay,0.44
NAM,meat_small_ruminant,legumes_silage,0.03
NAM,meat_small_ruminant,sugarcane_tops,0.0
NAM,meat_small_ruminant,tree_leaves,0.0
NENA,beef_cattle,crop_residues,0.242
NENA,beef_cattle,fresh_grass,0.249
NENA,beef_cattle,hay,0.367
NENA,beef_cattle,legumes_silage,0.021
NENA,beef_cattle,sugarcane_tops,0.001
NENA,beef_cattle,tree_leaves,0.092
NENA,dairy_buffalo,crop_residues,0.728
NENA,dairy_buffalo,fresh_grass,0.034
NENA,dairy_buffalo,hay,0.107
NENA,dairy_buffalo,legumes_silage,0.0
NENA,dairy_buffalo,sugarcane_tops,0.058
NENA,dairy_buffalo,tree_leaves,0.04
NENA,dairy_cattle,crop_residues,0.317
NENA,dairy_cattle,fresh_grass,0.414
NENA,dairy_cattle,hay,0.178
NENA,dairy_cattle,legumes_silage,0.003
NENA,dairy_cattle,sugarcane_tops,0.016
NENA,dairy_cattle,tree_leaves,0.036
NENA,dairy_small_ruminant,crop_residues,0.384
NENA,dairy_small_ruminant,fresh_grass,0.464
NENA,dairy_small_ruminant,hay,0.07
NENA,dairy_small_ruminant,legumes_silage,0.007
NENA,dairy_small_ruminant,sugarcane_tops,0.022
NENA,dairy_small_ruminant,tree_leaves,0.009
NENA,meat_buffalo,crop_residues,0.298
NENA,meat_buffalo,fresh_grass,0.389
NENA,meat_buffalo,hay,0.277
NENA,meat_buffalo,legumes_silage,0.0
NENA,meat_buffalo,sugarcane_tops,0.0
NENA,meat_buffalo,tree_leaves,0.022
NENA,meat_small_ruminant,crop_residues,0.374
NENA,meat_small_ruminant,fresh_grass,0.349
NENA,meat_small_ruminant,hay,0.222
NENA,meat_small_ruminant,legumes_silage,0.006
NENA,meat_small_ruminant,sugarcane_tops,0.018
NENA,meat_small_ruminant,tree_leaves,0.022
OC,beef_cattle,crop_residues,0.0
OC,beef_cattle,fresh_grass,0.635
OC,beef_cattle,hay,0.068
OC,beef_cattle,legumes_silage,0.107
OC,beef_cattle,sugarcane_tops,0.0
OC,beef_cattle,tree_leaves,0.0
OC,dairy_cattle,crop_residues,0.0
OC,dairy_cattle,fresh_grass,0.683
OC,dairy_cattle,hay,0.056
OC,dairy_cattle,legumes_silage,0.104
OC,dairy_cattle,sugarcane_tops,0.0
OC,dairy_cattle,tree_leaves,0.0
OC,dairy_small_ruminant,crop_residues,0.011
OC,dairy_small_ruminant,fresh_grass,0.622
OC,dairy_small_ruminant,hay,0.069
OC,dairy_small_ruminant,legumes_silage,0.078
OC,dairy_small_ruminant,sugarcane_tops,0.0
OC,dairy_small_ruminant,tree_leaves,0.0
OC,meat_small_ruminant,crop_residues,0.0
OC,meat_small_ruminant,fresh_grass,0.754
OC,meat_small_ruminant,hay,0.075
OC,meat_small_ruminant,legumes_silage,0.093
OC,meat_small_ruminant,sugarcane_tops,0.0
OC,meat_small_ruminant,tree_leaves,0.0
RUSS,dairy_cattle,crop_residues,0.018
RUSS,dairy_cattle,fresh_grass,0.238
RUSS,dairy_cattle,hay,0.238
RUSS,dairy_cattle,legumes_silage,0.343
RUSS,dairy_cattle,sugarcane_tops,0.0
RUSS,dairy_cattle,tree_leaves,0.0
RUSS,dairy_small_ruminant,crop_residues,0.115
RUSS,dairy_small_ruminant,fresh_grass,0.32
RUSS,dairy_small_ruminant,hay,0.246
RUSS,dairy_small_ruminant,legumes_silage,0.098
RUSS,dairy_small_ruminant,sugarcane_tops,0.0
RUSS,dairy_small_ruminant,tree_leaves,0.0
RUSS,meat_buffalo,crop_residues,0.0
RUSS,meat_buffalo,fresh_grass,0.411
RUSS,meat_buffalo,hay,0.274
RUSS,meat_buffalo,legumes_silage,0.183
RUSS,meat_buffalo,sugarcane_tops,0.0
RUSS,meat_buffalo,tree_leaves,0.0
RUSS,meat_small_ruminant,crop_residues,0.137
RUSS,meat_small_ruminant,fresh_grass,0.382
RUSS,meat_small_ruminant,hay,0.294
RUSS,meat_small_ruminant,legumes_silage,0.118
RUSS,meat_small_ruminant,sugarcane_tops,0.0
RUSS,meat_small_ruminant,tree_leaves,0.0
SA,beef_cattle,crop_residues,0.68
SA,beef_cattle,fresh_grass,0.08
SA,beef_cattle,hay,0.125
SA,beef_cattle,legumes_silage,0.0
SA,beef_cattle,sugarcane_tops,0.036
SA,beef_cattle,tree_leaves,0.059
SA,dairy_buffalo,crop_residues,0.548
SA,dairy_buffalo,fresh_grass,0.052
SA,dairy_buffalo,hay,0.201
SA,dairy_buffalo,legumes_silage,0.0
SA,dairy_buffalo,sugarcane_tops,0.047
SA,dairy_buffalo,tree_leaves,0.081
SA,dairy_cattle,crop_residues,0.601
SA,dairy_cattle,fresh_grass,0.107
SA,dairy_cattle,hay,0.142
SA,dairy_cattle,legumes_silage,0.0
SA,dairy_cattle,sugarcane_tops,0.035
SA,dairy_cattle,tree_leaves,0.061
SA,dairy_small_ruminant,crop_residues,0.539
SA,dairy_small_ruminant,fresh_grass,0.239
SA,dairy_small_ruminant,hay,0.063
SA,dairy_small_ruminant,legumes_silage,0.0
SA,dairy_small_ruminant,sugarcane_tops,0.023
SA,dairy_small_ruminant,tree_leaves,0.016
SA,meat_buffalo,crop_residues,0.601
SA,meat_buffalo,fresh_grass,0.0
SA,meat_buffalo,hay,0.198
SA,meat_buffalo,legumes_silage,0.0
SA,meat_buffalo,sugarcane_tops,0.047
SA,meat_buffalo,tree_leaves,0.075
SA,meat_small_ruminant,crop_residues,0.559
SA,meat_small_ruminant,fresh_grass,0.257
SA,meat_small_ruminant,hay,0.066
SA,meat_small_ruminant,legumes_silage,0.0
SA,meat_small_ruminant,sugarcane_tops,0.042
SA,meat_small_ruminant,tree_leaves,0.017
SSA,beef_cattle,crop_residues,0.194
SSA,beef_cattle,fresh_grass,0.611
SSA,beef_cattle,hay,0.126
SSA,beef_cattle,legumes_silage,0.0
SSA,beef_cattle,sugarcane_tops,0.037
SSA,beef_cattle,tree_leaves,0.016
SSA,dairy_cattle,crop_residues,0.17
SSA,dairy_cattle,fresh_grass,0.568
SSA,dairy_cattle,hay,0.181
SSA,dairy_cattle,legumes_silage,0.0
SSA,dairy_cattle,sugarcane_tops,0.019
SSA,dairy_cattle,tree_leaves,0.03
SSA,dairy_small_ruminant,crop_residues,0.311
SSA,dairy_small_ruminant,fresh_grass,0.588
SSA,dairy_small_ruminant,hay,0.049
SSA,dairy_small_ruminant,legumes_silage,0.0
SSA,dairy_small_ruminant,sugarcane_tops,0.039
SSA,dairy_small_ruminant,tree_leaves,0.002
SSA,meat_buffalo,crop_residues,0.0
SSA,meat_buffalo,fresh_grass,0.68
SSA,meat_buffalo,hay,0.0
SSA,meat_buffalo,legumes_silage,0.0
SSA,meat_buffalo,sugarcane_tops,0.0
SSA,meat_buffalo,tree_leaves,0.0
SSA,meat_small_ruminant,crop_residues,0.279
SSA,meat_small_ruminant,fresh_grass,0.579
SSA,meat_small_ruminant,hay,0.088
SSA,meat_small_ruminant,legumes_silage,0.0
SSA,meat_small_ruminant,sugarcane_tops,0.052
SSA,meat_small_ruminant,tree_leaves,0.002
WE,beef_cattle,crop_residues,0.038
WE,beef_cattle,fresh_grass,0.36
WE,beef_cattle,hay,0.148
WE,beef_cattle,legumes_silage,0.231
WE,beef_cattle,sugarcane_tops,0.0
WE,beef_cattle,tree_leaves,0.0
WE,dairy_buffalo,crop_residues,0.05
WE,dairy_buffalo,fresh_grass,0.017
WE,dairy_buffalo,hay,0.161
WE,dairy_buffalo,legumes_silage,0.337
WE,dairy_buffalo,sugarcane_tops,0.0
WE,dairy_buffalo,tree_leaves,0.0
WE,dairy_cattle,crop_residues,0.025
WE,dairy_cattle,fresh_grass,0.332
WE,dairy_cattle,hay,0.166
WE,dairy_cattle,legumes_silage,0.226
WE,dairy_cattle,sugarcane_tops,0.0
WE,dairy_cattle,tree_leaves,0.0
WE,dairy_small_ruminant,crop_residues,0.164
WE,dairy_small_ruminant,fresh_grass,0.249
WE,dairy_small_ruminant,hay,0.193
WE,dairy_small_ruminant,legumes_silage,0.066
WE,dairy_small_ruminant,sugarcane_tops,0.0
WE,dairy_small_ruminant,tree_leaves,0.0
WE,meat_small_ruminant,crop_residues,0.13
WE,meat_small_ruminant,fresh_grass,0.454
WE,meat_small_ruminant,hay,0.216
WE,meat_small_ruminant,legumes_silage,0.097
WE,meat_small_ruminant,sugarcane_tops,0.0
WE,meat_small_ruminant,tree_leaves,0.0
