# SPDX-FileCopyrightText: 2025 Koen van Greevenbroek
#
# SPDX-License-Identifier: CC0-1.0
#
# Mapping from GLEAM feed codes to model entities
#
# Columns:
#   - gleam_code: GLEAM feed material code (from Tables 3.1 and 3.5)
#   - model_entity: Name in model (crop/food/residue)
#   - entity_type: Type of entity (crop/food/residue)
#   - animal_type: Which animals can use (ruminant/monogastric/both)
#   - notes: Description and mapping details
#
gleam_code,model_entity,entity_type,animal_type,notes
GRASSF,grassland,forage,ruminant,Fresh grass from grazing/managed grassland
GRASSH,grassland,forage,ruminant,Hay or silage from grass (same as GRASSF for model)
GRASSH2,grassland,forage,ruminant,Hay from adjacent areas (same as GRASSF)
GRASSLEGF,alfalfa,crop,ruminant,Fresh grass-legume mixture → alfalfa
GRASSLEGH,alfalfa,crop,ruminant,Hay/silage from grass-legume → alfalfa
FDDRSIL,silage-maize,crop,ruminant,Fodder crops silage → silage-maize
FDDRSIL,biomass-sorghum,crop,ruminant,Approximate match though sorghum has lower nitrogen content than assumed for FDDRSIL
RSTRAW,rice-straw,residue,ruminant,Rice straw and residues
WSTRAW,wheat-straw,residue,ruminant,Wheat straw and residues
BSTRAW,barley-straw,residue,ruminant,Barley/rye/oat straw
ZSTOVER,maize-stover,residue,ruminant,Maize stover and residues
MSTOVER,millet-stover,residue,ruminant,Millet stover and residues
SSTOVER,sorghum-stover,residue,ruminant,Sorghum stover and residues
TOPS,sugarcane-tops,residue,both,Sugarcane tops and leaves
PSTRAW,pulse-straw,residue,monogastric,Legume crop residues
BNSTEM,banana-stem,residue,monogastric,Banana stem residues
LEAVES,,residue,both,Leaves from trees/forest (not modeled for now)
FDDRBEET,sugarbeet,crop,ruminant,Fodder beet → sugar beet
GRAINS,barley,crop,ruminant,Barley and other cereals (using barley as representative)
GRAINS,oat,crop,ruminant,Oat grain represented by GLEAM mixed cereals nutritional profile
GRAINS,rye,crop,ruminant,Rye grain represented by GLEAM mixed cereals nutritional profile
CORN,maize,crop,both,Maize grain
WHEAT,wheat,crop,monogastric,Wheat grain
MAIZE,maize,crop,monogastric,Maize grain (same as CORN)
BARLEY,barley,crop,monogastric,Barley grain
BARLEY,oat,crop,monogastric,Oat grain proxied with barley nutritional profile
BARLEY,rye,crop,monogastric,Rye grain proxied with barley nutritional profile
MILLET,pearl-millet,crop,monogastric,Millet grain → pearl millet
RICE,wetland-rice,crop,monogastric,Rice grain → wetland rice
SORGHUM,sorghum,crop,monogastric,Sorghum grain
SOY,soybean,crop,monogastric,Soybean grain
PULSES,dry-pea,crop,monogastric,Legume grains → dry pea as representative
PULSES,cowpea,crop,monogastric,Legume grains → cowpea
PULSES,pigeonpea,crop,monogastric,Legume grains → pigeonpea
CASSAVA,cassava,crop,monogastric,Cassava roots/pellets
CASSAVA,white-potato,crop,monogastric,Potato tubers as pig feed (CASSAVA nutritional proxy)
CASSAVA,sweet-potato,crop,monogastric,Sweet potato roots as pig feed (CASSAVA nutritional proxy)
BNFRUIT,banana,crop,monogastric,Banana fruit
MLSOY,oilseed-meal,food,both,Soybean meal → oilseed meal (generic oilseed meal pool)
MLRAPE,rapeseed-meal,food,both,Rapeseed/canola meal
MLCTTN,oilseed-meal,food,both,Cottonseed meal → generic oilcake (oilseed-meal proxy)
MLOILSDS,oilseed-meal,food,monogastric,Other oilseed meals → oilseed meal
PKEXP,,food,both,Palm kernel cake (not in model - skip for now)
GRNBYDRY,wheat-bran,food,both,"Dry grain byproducts (brans, middlings) → wheat bran"
GRNBYWET,ddgs,food,both,DDGS from grain ethanol production (wet grain byproducts)
MZGLTM,,food,ruminant,Maize gluten meal (high protein) - not in model
MZGLTF,,food,ruminant,Maize gluten feed (lower protein) - not in model
BPULP,,food,ruminant,Sugar beet pulp - not in model
MOLASSES,molasses,food,both,Sugarcane molasses from ethanol production
RAPESEED,rapeseed,crop,monogastric,Rapeseed whole seeds
SOYOIL,soybean-oil,food,monogastric,Soybean oil (processed)
FISHMEAL,,food,monogastric,Fish industry byproduct - not modeled
SYNTHETIC,,food,monogastric,Synthetic additives - not modeled
LIMESTONE,,food,monogastric,Calcium source for laying hens - not modeled
SWILL,,food,monogastric,Household food waste - not modeled
