# SPDX-FileCopyrightText: 2025 Koen van Greevenbroek
#
# SPDX-License-Identifier: CC0-1.0
#
# Source: Mottet et al. (2017) Table SI 10.
# Industrial pig feed rations, regional averages.
# Values are percentage of total dry matter intake.
# Parenthetical values indicate amounts in competition with food production.
#
Feed component,NA,RUSS,WE,EE,NENA,ESEA,OC,SA,LAC,SSA
Pulses (non-local),,,3,,,,,,,(-)
Cassava (non-local),,,,,,1,,2,1,11(4)
Wheat (non-local),10,34,26,27,,4,20,,12,(-)
Maize (non-local),54,20,13,28,,55,,12,50,18(2)
Barley (non-local),17,10,22,9,,3,16,,,(-)
Millet (non-local),,,,,,,,,, 10(1)
Rice (non-local),,,,,,3,,23,1,5(1)
Sorghum (non-local),,,,,,1,43,22,11,19(1)
Soybean (non-local),,,,,,4,,1,2,(-)
Soybean meal (non-local),11,15,16,15,,17,19,21,19,6(1)
Oilseed meal (non-local),1,10,11,10,,,,,,-(5)
Cottonseed meal (non-local),,,,,,,,,9,-(1)
Dry by-product grain industries (non-local),4,5,5,6,,9,,5,1,-(3)
Molasses (non-local),,,2,,,,,,1,1(-)
Fishmeal (non-local),1,4,,3,,1,4,1,3(-)
Complements (amino acids minerals) (non-local),2,2,2,2,,2,2,2,2(-)
