# SPDX-FileCopyrightText: 2025 Koen van Greevenbroek
#
# SPDX-License-Identifier: CC0-1.0
#
# Source: Mottet et al. (2017) Table SI 12.
# Intermediate pig feed rations, regional averages.
# Values are percentage of total dry matter intake.
#
Feed component,NA,RUSS,WE,EE,NENA,ESEA,OC,SA,LAC,SSA
Swill,,,,,,4,,,1,3
Pulses straw (local),,2,2,2,,1,,7,1,9
Sugarcane tops (local),,,,,,4,,10,18,2
Banana residues (local),,,,,,,,,2,3,4
Pulses (local),,,,,,,,1,,1
Pulses (non-local),,,2,,,,,,,,
Cassava (local),,,,,,,,,,7
Cassava (non-local),,,,,1,,1,1,1,7
Wheat (local),,9,11,9,,3,,3,1,
Wheat (non-local),,24,8,21,,2,,,8,
Maize (local),,,10,2,,4,,2,5,4
Maize (non-local),,14,12,17,,25,,6,18,12
Barley (local),,4,6,3,,,,,,
Barley (non-local),,7,7,6,,2,,,,
Millet (local),,,,,,,,1,,1
Millet (non-local),,,,,,,,,,7
Rice (local),,,,,,12,,8,1,2
Rice (non-local),,,,,,3,,12,1,3
Sorghum (local),,,,,,,,,,2
Sorghum (non-local),,,,,,,11,4,10
Soybean (local),,,,,,1,,,1,
Soybean (non-local),,,,,,2,,,3,
Banana,,,,,,,,1,1,1
Soybean meal (local),,1,2,,,4,,1,9,1
Soybean meal (non-local),,10,10,10,,8,,10,10,3
Oilseed meal (local),,6,5,7,,6,,6,4,8
Oilseed meal (non-local),,7,5,7,,,,,,
Cottonseed meal (local),,,,,,,1,,1,2
Cottonseed meal (non-local),,,,,,,,4,,
Dry by-product grain industries (local),,7,13,7,,10,,7,4,5
Dry by-product grain industries (non-local),,4,3,4,,4,,2,1,
Molasses (non-local),,,2,,,,,,,,1
Fishmeal (non-local),,3,,2,,1,,2,1,2
Complements (amino acids minerals) (non-local),,1,1,1,,1,,1,1,1
