# SPDX-FileCopyrightText: 2025 Koen van Greevenbroek
#
# SPDX-License-Identifier: CC0-1.0
#
# Source: Mottet et al. (2017) Table SI 13.
# Backyard chicken feed rations, regional averages.
# Values are percentage of total dry matter intake.
#
Feed component,NA,RUSS,WE,EE,NENA,ESEA,OC,SA,LAC,SSA
Swill,,20,20,20,,40,40,,40,40
Pulses (local),,1,,1,1,1,,1,,2
Cassava (local),,,,,,3,,,2,8
Wheat (local),,27,17,16,15,5,,12,1,1
Maize (local),,1,23,11,2,,,2,7,11
Barley (local),,10,4,6,4,,,2,,
Millet (local),,1,,,,,,,,3
Rice (local),,,,,1,14,,14,6,3
Sorghum (local),,,,,,3,1,,,1,3
Soybean (local),,,,1,,1,,,3,
Soybean meal (local),,2,4,1,,5,,2,20,2
Oilseed meal (local),,19,8,26,18,18,,6,12,11
Cottonseed meal (local),,,,3,1,,,5,2,6
Dry by-product grain industries (local),,19,22,17,13,11,,15,7,11
