# SPDX-FileCopyrightText: 2025 Koen van Greevenbroek
#
# SPDX-License-Identifier: CC0-1.0
#
# Source: Mottet et al. (2017) Table SI 14.
# Layer chicken feed rations, regional averages.
# Values are percentage of total dry matter intake.
#
Feed component,NA,RUSS,WE,EE,NENA,ESEA,OC,SA,LAC,SSA
Wheat (non-local),2,52,44,48,,22,3,32,30,4,7
Maize (non-local),65,,22,9,42,57,10,27,29,59
Barley (non-local),,30,,16,,,,,,
Sorghum (non-local),,,,,,,,21,,37,
Soybean (non-local),2,,19,2,15,18,4,,,3,3
Soybean meal (non-local),22,,1,3,4,3,2,8,14,14
Oilseed meal (non-local),,8,,5,2,3,9,9,5,9
Dry by-product grain industries (non-local),,,1,,,5,,8,,
Rapeseed (non-local),,,4,7,7,1,8,,,,
Fishmeal (non-local),,2,,2,,,5,10,,
Complements (amino acids minerals),1,1,1,1,1,1,1,1,1,1
Limestone,8,7,8,7,7,8,7,6,7,7
