# SPDX-FileCopyrightText: 2025 Koen van Greevenbroek
#
# SPDX-License-Identifier: CC0-1.0
#
# Source: Mottet et al. (2017) Table SI 15.
# Broiler chicken feed rations, regional averages.
# Values are percentage of total dry matter intake.
#
Feed component,NA,RUSS,WE,EE,NENA,ESEA,OC,SA,LAC,SSA
Wheat (non-local),,38,40,39,16,13,33,18,,6
Maize (non-local),62,30,24,28,44,47,5,38,70,64
Barley (non-local),,,,,7,4,7,5,,
Sorghum (non-local),,,5,,7,7,21,9,,
Soybean (non-local),2,25,15,25,,,,3,,
Soybean meal (non-local),24,,10,,,25,25,16,24,28,28
Oilseed meal (non-local),5,5,2,6,2,2,2,,
Rapeseed (non-local),,,1,,,,1,,
Rapeseed (non-local),,,1,,,,4,,
Fishmeal (non-local),5,,,,2,1,5,2,,
Complements (amino acids minerals),1,1,1,1,1,1,1,1,1,1
Limestone,1,1,1,1,1,1,2,1,1,1
