# SPDX-FileCopyrightText: 2025 Koen van Greevenbroek
#
# SPDX-License-Identifier: CC0-1.0
#
# Source: Mottet et al. (2017) Table SI 3.
# Global livestock feed rations by regions, species and systems (kg DM/animal/year)
# Feedlots* figures reported for fattening phase in feedlots (3 to 6 months).
#
Region,Species,System,Total intake,Roughages,Swill,Cereal grains,2nd grade grain,Brans spent brewer and biofuel grains,Soybean cakes,Other oil seed cakes,Other edible,Other non-edible,Total human-edible feed intake,Total in competition with food production
Non OECD,Cattle & buffaloes,Grazing,2680,2550,,22,,81,4,21,,4,22,26
Non OECD,Cattle & buffaloes,Mixed,2531,2262,,73,,122,13,58,,37,71,84
Non OECD,Cattle & buffaloes,Feedlots*,1784,670,,670,,307,44,93,,9,670,714
Non OECD,Small Ruminants,Grazing,270,260,,1,,8,,1,,,1,1
Non OECD,Small Ruminants,Mixed,238,226,,1,,9,,1,,,1,1
Non OECD,Poultry,Backyard,20,,8,,6,3,2,1,1,,1,2
Non OECD,Poultry,Layers,26,,,16,,1,1,1,4,3,20,21
Non OECD,Poultry,Broilers,34,,,24,,,8,,,1,24,32
Non OECD,Pigs,Backyard,506,75,99,,154,77,64,25,6,7,6,69
Non OECD,Pigs,Intermediate,563,46,23,285,,73,91,14,19,10,305,395
Non OECD,Pigs,Industrial,628,1,,408,,42,109,14,30,24,438,547
OECD,Cattle & buffaloes,Grazing,3178,2740,,223,,105,38,57,,28,223,260
OECD,Cattle & buffaloes,Mixed,2898,2244,,348,,101,62,111,,58,348,417
OECD,Cattle & buffaloes,Feedlots*,2022,481,,1448,,27,37,22,,24,1448,1485
OECD,Small Ruminants,Grazing,297,267,,7,,12,1,9,,8,7,8
OECD,Small Ruminants,Mixed,301,261,,8,,17,1,14,,12,8,9
OECD,Poultry,Backyard,25,,5,,11,6,,2,,,,-
OECD,Poultry,Layers,27,,,18,,,3,,3,2,21,24
OECD,Poultry,Broilers,40,,,26,,,8,2,2,2,28,36
OECD,Pigs,Backyard,574,187,64,,189,94,14,18,,7,,-
OECD,Pigs,Intermediate,583,42,,343,,69,67,33,10,17,354,421
OECD,Pigs,Industrial,637,,,432,,30,93,49,14,19,446,539
