# SPDX-FileCopyrightText: 2025 Koen van Greevenbroek
#
# SPDX-License-Identifier: CC0-1.0
#
# Source: Mottet et al. (2017) Table SI 4.
# Dairy cattle feed rations, regional averages.
# Values are percentage of total dry matter intake.
#
Feed component,NA,RUSS,WE,EE,NENA,ESEA,OC,SA,LAC,SSA
Fresh grass,14.4,23.8,33.2,22.5,41.4,22.4,68.3,10.7,54.9,56.8
Hay,17.0,23.8,16.6,22.8,17.8,19.2,5.6,14.2,15.4,18.1
Legumes and silage,30.6,34.3,22.6,33.2,0.3,2.7,10.4,,,
Crop residues,,1.8,2.5,1.8,31.7,38.4,,60.1,8.7,17.0
Sugarcane tops,,,,,,1.6,0.6,,3.5,1.9
Leaves,,,,,3.6,2.3,,6.1,6.5,3.0
Bran,4.4,2.9,2.0,3.0,0.6,0.5,2.5,0.2,0.4,0.1
Oilseed meals,6.4,4.6,8.5,5.7,2.3,6.7,1.3,5.2,6.4,3.1
Wet distillers grain,4.3,,,,,,,,,
Grains,22.8,7.2,13.2,9.1,0.2,7.2,11.8,,4.9,0.1
Molasses,,1.8,,0.1,,0.5,,,0.1,0.1
Pulp,,1.8,1.3,1.8,,,,,,
