# SPDX-FileCopyrightText: 2025 Koen van Greevenbroek
#
# SPDX-License-Identifier: CC0-1.0
#
# Source: Mottet et al. (2017) Table SI 5.
# Beef cattle feed rations, regional averages.
# Values are percentage of total dry matter intake.
#
Feed component,NA,RUSS,WE,EE,NENA,ESEA,OC,SA,LAC,SSA
Fresh grass,35.2,,36.0,21.0,24.9,23.6,63.5,8.0,65.1,61.1
Hay,39.4,,14.8,21.9,36.7,18.7,6.8,12.5,9.4,12.6
Legumes and silage,7.8,,23.1,32.3,2.1,0.7,10.7,,,
Crop residues,,,3.8,2.1,24.2,46.2,,68.0,10.2,19.4
Sugarcane tops,,,,,,0.1,0.8,,3.6,3.7
Leaves,,,,,,9.2,2.8,,5.9,1.6
Bran,0.9,,1.7,3.5,0.3,0.2,3.8,0.1,0.1,
Oilseed meals,0.6,,7.6,6.6,1.9,2.7,1.5,1.9,3.9,1.4
Wet distillers grain,1.0,,,,,,,,,
Grains,15.1,,10.6,10.5,0.6,4.2,13.7,,4.7,0.1
Molasses,,,0.7,,,,,,,
Pulp,,,1.7,2.1,,,,,,
