# SPDX-FileCopyrightText: 2025 Koen van Greevenbroek
#
# SPDX-License-Identifier: CC0-1.0
#
# Source: Mottet et al. (2017) Table SI 6.
# Dairy buffaloes feed rations, regional averages.
# Values are percentage of total dry matter intake.
#
Feed component,NA,RUSS,WE,EE,NENA,ESEA,OC,SA,LAC,SSA
Fresh grass,,,1.7,,38.9,3.4,35.7,,65.3,
Hay,15.6,,,16.1,25.9,10.7,13.7,,20.1,12.2,
Legumes and silage,34.4,,33.7,17.3,,,,,,
Crop residues,5.2,,5.0,,72.8,39.5,,54.8,8.4,
Sugarcane tops,,,,,,5.8,2.2,,4.7,2.2
Leaves,,,,,,4.0,2.3,,8.1,5.2
Bran,4.7,,0.8,4.6,1.6,3.3,,3.6,3.4,
Oilseed meals,10.9,,11.5,5.2,1.6,3.3,,3.6,3.6,3.4
Wet distillers grain,7.3,,7.0,,,,,,,,
Grains,15.6,,18.2,8.1,,,,,,
Molasses,,,,,,,,,,
Pulp,6.2,,6.0,,,,,,,,
