# SPDX-FileCopyrightText: 2025 Koen van Greevenbroek
#
# SPDX-License-Identifier: CC0-1.0
#
# Source: Mottet et al. (2017) Table SI 8.
# Dairy small ruminant feed rations, regional averages.
# Values are percentage of total dry matter intake.
#
Feed component,NA,RUSS,WE,EE,NENA,ESEA,OC,SA,LAC,SSA
Fresh grass,29.7,32.0,24.9,32.5,46.4,23.0,62.2,23.9,74.9,58.8
Hay,37.5,24.6,19.3,25.0,7.0,33.8,6.9,6.3,11.9,4.9
Legumes and silage,2.6,9.8,6.6,10.0,0.7,,7.8,,,,
Crop residues,,11.5,16.4,11.8,38.4,26.9,1.1,53.9,8.7,31.1
Sugarcane tops,,,,,,2.2,0.3,,2.3,3.9
Leaves,,,,,,0.9,2.1,,1.6,0.3,0.2
Bran,5.8,8.6,11.3,8.2,2.1,6.9,9.8,6.0,1.0,0.6
Oilseed meals,2.1,2.3,4.3,2.1,1.7,6.9,0.6,6.0,1.0,0.6
Wet distillers grain,,,,,,,,,,
Grains,17.2,3.6,5.4,3.3,0.2,,5.5,,,,
Molasses,0.2,,0.7,,,,,,,,
Pulp,4.9,7.6,11.1,7.2,0.3,,6.1,,,,
