# SPDX-FileCopyrightText: 2025 Koen van Greevenbroek
#
# SPDX-License-Identifier: CC0-1.0
#
# Source: Mottet et al. (2017) Table SI 9.
# Meat small ruminant feed rations, regional averages.
# Values are percentage of total dry matter intake.
#
Feed component,NA,RUSS,WE,EE,NENA,ESEA,OC,SA,LAC,SSA
Fresh grass,34.8,38.2,45.4,37.0,34.9,19.7,75.4,25.7,68.9,57.9
Hay,44.0,29.4,21.6,29.0,22.2,32.6,7.5,6.6,18.8,8.8
Legumes and silage,3.0,11.8,9.7,12.0,0.6,,9.3,,,,
Crop residues,,13.7,13.0,13.9,37.4,39.2,1.2,55.9,9.9,27.9
Sugarcane tops,,,,,,1.8,0.3,,4.2,5.2
Leaves,,,,,,2.2,1.5,,1.7,0.2
Bran,0.2,,2.8,4.3,0.5,3.3,4.7,3.0,0.4,
Oilseed meals,0.5,,2.2,0.3,0.3,3.3,0.1,3.0,0.4,
Wet distillers grain,,,,,,,,,,
Grains,17.3,,0.7,0.5,,0.9,,,,
Molasses,0.2,,1.3,,,,,,,,
Pulp,,2.6,3.4,3.1,,,1.0,,,,
