# SPDX-FileCopyrightText: 2025 Koen van Greevenbroek
#
# SPDX-License-Identifier: CC-BY-4.0
country,yield_correction,exogenous_forage_mt_dm
AFG,1.0,0.125928
AGO,1.0,1.923157
ALB,1.0,0.0
ARE,1.0,1.563421
ARG,0.77336,0.0
ARM,1.0,0.0
ATG,1.0,0.0
AUS,0.788092,0.0
AUT,0.767172,0.0
AZE,1.0,0.0
BDI,0.96612,0.0
BEL,1.0,0.0
BEN,1.0,0.0
BFA,0.953612,0.0
BGD,1.0,35.131699
BHS,1.0,0.0
BLR,1.0,0.582498
BLZ,1.0,0.0
BOL,1.0,0.0
BRA,1.0,0.0
BRB,0.803288,0.0
BRN,1.0,0.091098
BTN,1.0,0.000312
BWA,1.0,0.03569
CAF,1.0,0.0
CAN,0.73866,0.0
CHE,0.982683,0.0
CHL,1.0,0.0
CHN,1.0,69.674156
CIV,1.0,0.0
CMR,1.0,0.0
COD,1.0,0.0
COG,0.990259,0.0
COL,0.54719,0.0
COM,1.0,0.046193
CRI,1.0,0.0
CUB,1.0,0.0
CYP,1.0,0.181559
CZE,1.0,0.0
DEU,1.0,0.0
DOM,1.0,0.0
DZA,1.0,0.0
ECU,1.0,0.0
EGY,1.0,13.069057
ERI,0.5417,0.0
ESP,1.0,0.0
EST,1.0,0.0
ETH,0.581358,0.0
FIN,1.0,0.0
FJI,0.238494,0.0
FRA,1.0,0.0
GAB,1.0,0.0
GBR,0.571685,0.0
GEO,0.993995,0.0
GHA,1.0,0.0
GIN,0.949325,0.0
GMB,0.764576,0.0
GNB,1.0,0.0
GNQ,0.112576,0.0
GRD,1.0,0.0
GTM,1.0,0.0
GUF,1.0,0.0
GUY,0.62012,0.0
HND,0.852535,0.0
HTI,1.0,0.0
HUN,1.0,0.0
IDN,1.0,4.555594
IND,1.0,279.440247
IRL,0.491805,0.0
IRN,1.0,1.094399
IRQ,1.0,2.133811
ISR,1.0,2.135153
JAM,1.0,0.0
JOR,1.0,1.098095
JPN,1.0,0.0
KAZ,0.791659,0.0
KEN,0.518493,0.0
KGZ,1.0,0.144243
KHM,1.0,3.666094
KOR,1.0,0.552823
LAO,1.0,1.478198
LBN,1.0,0.57386
LBR,0.342084,0.0
LBY,1.0,0.0
LKA,1.0,1.143843
LSO,0.434561,0.0
LUX,0.0,0.0
LVA,1.0,0.0
MAR,1.0,0.0
MDA,1.0,0.035906
MDG,0.424911,0.0
MEX,0.888372,0.0
MKD,1.0,0.0
MLI,0.793711,0.0
MLT,1.0,0.0
MMR,1.0,5.885502
MNE,0.38237,0.0
MNG,0.763628,0.0
MOZ,0.126917,0.0
MRT,1.0,0.0
MUS,1.0,0.022252
MWI,1.0,0.966623
MYS,1.0,0.603461
NAM,0.41389,0.0
NER,1.0,0.0
NGA,1.0,0.0
NIC,1.0,0.0
NOR,1.0,0.0
NPL,1.0,14.968734
NZL,0.999173,0.0
OMN,1.0,1.91217
PAK,1.0,104.645638
PAN,1.0,0.0
PER,1.0,0.0
PHL,1.0,0.741964
PNG,0.0,0.0
POL,0.713824,0.0
PRI,1.0,0.0
PRT,0.0,0.0
PRY,0.792271,0.0
PSE,1.0,0.078073
ROU,1.0,0.0
RUS,1.0,3.463477
RWA,1.0,0.0
SAU,1.0,2.57182
SDN,0.599145,0.0
SEN,1.0,0.0
SLB,1.0,0.0
SLE,0.676281,0.0
SOM,0.469984,0.0
SSD,0.630536,0.0
STP,1.0,0.0
SUR,1.0,0.0
SVK,1.0,0.0
SVN,0.454297,0.0
SWE,1.0,0.0
SWZ,1.0,0.011225
SYR,1.0,1.532024
TCD,0.805925,0.0
TGO,1.0,0.0
THA,1.0,1.666412
TJK,1.0,1.527686
TKM,1.0,0.254938
TLS,0.502994,0.0
TTO,0.953581,0.0
TUR,1.0,0.0
TWN,1.0,0.0
TZA,1.0,0.0
UGA,1.0,0.0
URY,0.669178,0.0
USA,0.277781,0.0
UZB,1.0,1.449866
VEN,0.778884,0.0
VNM,1.0,10.40353
VUT,0.246154,0.0
YEM,0.772158,0.0
ZAF,1.0,0.553965
ZMB,1.0,8.623837
ZWE,1.0,11.688721
